"beta1" "lambda1" "beta2" "lambda2" "beta3" "lambda3" "sumQfunc" "diffB_beta1" "diffB_beta3" "bp" "iter" "Beta1 at 1" "Q1" "Q2" "Q3" "pi1" "pi2" "pi3"
"9.40199495705112" "1.28289899188871e-18" "1" "0.361278507361864" "2.04802134205755" "0.000781618755445581" "-224.242692194387" "8.48103809403256e-10" "8.81072992342524e-12" "bp" "14" "23.7289725145521" "-90.6377183866931" "-22.8100451354793" "-58.5335591980705" "0.486133718376516" "0.226053970119912" "0.287812311503573"
"10.0071036707029" "8.64122125786577e-20" "1" "0.425172686881924" "1.96712741457789" "0.00100833033361768" "-223.336562277947" "5.02723196404986e-10" "2.37605490838178e-11" "bp" "15" "23.1801349140499" "-87.0581292858606" "-20.0152630501976" "-63.8617931530257" "0.473606952766971" "0.215767757049643" "0.310625290183386"
"10.5951401938555" "6.27734474294754e-21" "1" "0.493104124584635" "1.88617132528209" "0.00130571725355294" "-222.769359631991" "2.45194087256095e-10" "3.79429820895893e-11" "bp" "16" "22.6436223777102" "-83.7535811491575" "-17.6316576411923" "-68.9506450295176" "0.461641572977822" "0.206576414136149" "0.331782012886029"
"11.160703709782" "5.03799668233865e-22" "1" "0.558673556604653" "1.81255017638697" "0.00165051199737921" "-222.539332560192" "1.25737642520107e-10" "2.74411604550551e-11" "bp" "17" "22.1192910683182" "-80.7011341850473" "-15.7165681517417" "-73.7286963019693" "0.450173545522243" "0.198668536775898" "0.35115791770186"
"11.7087550372779" "4.37031763756112e-23" "1" "0.618688247187501" "1.75152995054829" "0.00199720867510154" "-222.526779148199" "1.16493240511772e-05" "1.06012976175407e-11" "bp" "18" "21.6105820371334" "-77.8704134721352" "-14.2160828859099" "-78.1323225343707" "0.439206621008871" "0.192089270034281" "0.368704108956848"
"12.2491250615955" "3.92301771559941e-24" "1" "0.671509849130882" "1.70481496128796" "0.00229877204927488" "-222.610564833326" "8.59677530229419e-06" "1.15107923193136e-12" "bp" "19" "21.1235374056937" "-75.2396587383195" "-13.061168825496" "-82.1086899229504" "0.428809475829038" "0.186824780261284" "0.384365743909677"
"12.7932823220586" "3.46302541895726e-25" "1" "0.715450368933356" "1.67141955725904" "0.00252489547184796" "-222.720016226865" "6.9448383044346e-06" "1.98951966012828e-13" "bp" "20" "20.6618914505859" "-72.7853298527288" "-12.2004475314525" "-85.6449003808934" "0.419019001486556" "0.182799731400142" "0.398181267113302"
"13.3551320224089" "2.82587082929937e-26" "1" "0.749404423310753" "1.64929809884458" "0.00266455426793816" "-222.821193117962" "6.21130243416701e-06" "3.71930354958749e-07" "bp" "21" "20.2239010097639" "-70.4698227346449" "-11.588549866202" "-88.7790684304475" "0.409772256082625" "0.179879880690258" "0.410347863227117"
"13.9537814111103" "1.95779272088042e-27" "1" "0.773611984182256" "1.63632712985922" "0.00272054061683919" "-222.895316260657" "6.25586301339354e-06" "4.7704347139188e-08" "bp" "22" "19.8022139689501" "-68.2372403766584" "-11.1775790316245" "-91.5919416446042" "0.400899412424403" "0.177889931422072" "0.421210656153525"
"14.6178302277618" "1.0139085915761e-28" "1" "0.789469224202651" "1.63069745897893" "0.00270293312962203" "-222.927531538882" "7.27382513332486e-06" "1.77543313384376e-09" "bp" "23" "19.3850023628516" "-66.0136836893351" "-10.9199775216716" "-94.1916496735461" "0.392143891620004" "0.176642296009495" "0.431213812370501"
"15.3928108697667" "3.20498937283256e-30" "1" "0.798800410590144" "1.63106221207547" "0.00262365638688477" "-222.90128009478" "1.0057569880928e-05" "8.80796363844638e-07" "bp" "24" "18.9565406236816" "-63.7046239895574" "-10.7747248375254" "-96.7031332786216" "0.383172173001322" "0.175964989002692" "0.440862837995985"
