"beta1" "lambda1" "beta2" "lambda2" "beta3" "lambda3" "sumQfunc" "diffB_beta1" "diffB_beta3" "bp" "iter" "Beta1 at 1" "Q1" "Q2" "Q3" "pi1" "pi2" "pi3"
"0.636416180477873" "1.12649215832209" "1" "1.19644771033732" "1.53122835620238" "0.0577511932436438" "-271.353111328916" "7.55661488938131e-09" "9.2370555648813e-14" "bp" "13" "-38.522737620535" "-34.4070274581791" "-58.3795501407425" "-53.5810397347337" "0.285562964230994" "0.555771747176583" "0.158665288592423"
"0.638855584123759" "1.14044107099311" "1" "1.19036036986421" "1.53201634707389" "0.0575586521104287" "-271.614996458417" "8.6823845890649e-09" "6.25277607468888e-13" "bp" "14" "-38.6203891814384" "-34.1351521394686" "-58.309335913012" "-53.7969221443942" "0.289079703241288" "0.551674293945907" "0.159246002812805"
"0.641353395958448" "1.1537360346157" "1" "1.18438032025641" "1.5330758289993" "0.0573317880068835" "-271.851340538296" "9.43440525702499e-09" "2.8563817977556e-12" "bp" "15" "-38.6799547364856" "-33.8815293003349" "-58.2459569340206" "-53.9895466315978" "0.292505550413334" "0.547733906626887" "0.159760542959779"
"0.643885502456928" "1.16645800700201" "1" "1.17847693078313" "1.5343634865599" "0.0570769280117567" "-272.064816863372" "9.83927961328845e-09" "5.47828449271037e-12" "bp" "16" "-38.7082322297945" "-33.6434257737033" "-58.1900954554231" "-54.1611137686109" "0.295847643021105" "0.543937017911829" "0.160215339067066"
"0.64643382552631" "1.17867673946623" "1" "1.17262494157066" "1.53584311070101" "0.0567992939822494" "-272.25767717824" "9.96545068687738e-09" "1.02602371043758e-11" "bp" "17" "-38.7107091558286" "-33.4184481103766" "-58.142263750258" "-54.3135746553863" "0.299112048839437" "0.540271915518091" "0.160616035642472"
"0.648984918590897" "1.190452519272" "1" "1.16680363821168" "1.53748452578144" "0.0565031793253499" "-272.431824022048" "9.89187931565993e-09" "1.47934997585253e-11" "bp" "18" "-38.6918083134018" "-33.2045053046527" "-58.1028355279395" "-54.4486549129053" "0.302303944693286" "0.536728471848188" "0.160967583458526"
"0.651528887619643" "1.20183766872577" "1" "1.16099609534556" "1.53926263069008" "0.0561921046795351" "-272.58887086544" "9.66501723098645e-09" "2.05204742087517e-11" "bp" "19" "-38.6550914128352" "-32.9997712707748" "-58.0720745652349" "-54.5678783385736" "0.305427767732888" "0.53329790884738" "0.161274323419732"
"0.654058565257942" "1.21287781499025" "1" "1.15518851147637" "1.54115656374616" "0.0558689516626705" "-272.730191779704" "9.33535027058952e-09" "2.63966626334877e-11" "bp" "20" "-38.6034251203564" "-32.8026496340146" "-58.0501595987035" "-54.6725891911542" "0.308487341613603" "0.529972596953622" "0.161540061432775"
"0.656568879450104" "1.22361295612971" "1" "1.1493696399832" "1.54314899014743" "0.0555360756263192" "-272.856962232923" "8.94559448738619e-09" "3.04538616546779e-11" "bp" "21" "-38.539115232084" "-32.6117419647249" "-58.0372052571897" "-54.7639725966742" "0.31148598079915" "0.52674588488082" "0.16176813432003"
"0.659056370540517" "1.23407835163923" "1" "1.14353031164171" "1.54522550312049" "0.0551953994160336" "-272.970192464369" "8.52335624301759e-09" "3.54845042238594e-11" "bp" "22" "-38.4640145337055" "-32.4258197954799" "-58.0332792400918" "-54.8430728879838" "0.314426576350632" "0.523611956307685" "0.161961467341683"
"0.661518821420611" "1.24430526446697" "1" "1.13766303935175" "1.54737412599314" "0.0548484905921969" "-273.070754722083" "8.09071565299746e-09" "4.27675672654004e-11" "bp" "23" "-38.3796092803346" "-32.243800346303" "-58.038416155603" "-54.91080987919" "0.317311666314545" "0.5205657095755" "0.162122624109955"
"0.66395497369443" "1.25432157866801" "1" "1.13176169415033" "1.54958490116371" "0.0544966246232583" "-273.159405471366" "7.66121210915571e-09" "4.77697881251515e-11" "bp" "24" "-38.2870884757371" "-32.0647256810559" "-58.052628504892" "-54.9679931804909" "0.320143493429195" "0.517602656832581" "0.162253849738224"
"0.666364309336633" "1.26415231349199" "1" "1.125821241645" "1.5518495523435" "0.0541408363961" "-273.236803508683" "7.24930337980823e-09" "5.39799316356948e-11" "bp" "25" "-38.1873993964419" "-31.8877449358561" "-58.075915292759" "-55.0153347110733" "0.322924052449332" "0.514718839503827" "0.162357108046842"
"0.668746882277731" "1.27382005145193" "1" "1.11983752889548" "1.55416120771379" "0.0537819621157874" "-273.303524756532" "6.85344581086156e-09" "5.52091705685598e-11" "bp" "26" "-38.0812921554017" "-31.712099243456" "-58.108268701259" "-55.0534595883478" "0.325655128996716" "0.511910757415184" "0.162434113588101"
"0.671103188110847" "1.28334529498385" "1" "1.1138071130111" "1.55651417324263" "0.0534206733641649" "-273.360074375071" "6.48062048469455e-09" "5.87405679652875e-11" "bp" "27" "-37.9693555487592" "-31.5371089943643" "-58.1496792032987" "-55.0829155739208" "0.328338331500385" "0.509175309321742" "0.162486359177873"
"0.673434062956066" "1.29274676376099" "1" "1.10772712404048" "1.55890374707609" "0.0530575047915382" "-273.406896707428" "6.13425221729358e-09" "6.2648553011968e-11" "bp" "28" "-37.8520459753161" "-31.3621631081498" "-58.2001394312546" "-55.1041812486749" "0.330975117498949" "0.506509742957691" "0.16251513954336"
"0.6757406046627" "1.30204164257361" "1" "1.10159515596852" "1.56132606746324" "0.0526928766513497" "-273.444383476391" "5.82086379097291e-09" "6.47801812192483e-11" "bp" "29" "-37.7297108505623" "-31.1867100267521" "-58.2596470578223" "-55.1176730759998" "0.333566815335749" "0.503911613043174" "0.162521571621077"
"0.678024111149034" "1.31124578789031" "1" "1.09540918073741" "1.56377798805198" "0.0523271131587242" "-273.472880568962" "5.53210632858736e-09" "7.23261450730206e-11" "bp" "30" "-37.6026076428286" "-31.0102501803266" "-58.3282068954883" "-55.1237514968773" "0.336114642080057" "0.501378745949664" "0.162506611970279"
"0.680286031901269" "1.32037389973308" "1" "1.08916748115399" "1.56625697556738" "0.0519604574620776" "-273.492693679288" "5.27105470382594e-09" "7.16369186193333e-11" "bp" "31" "-37.4709194252959" "-30.8323297124007" "-58.4058323779614" "-55.1227261847878" "0.338619718347223" "0.498909209947428" "0.16247107170535"
"0.682527929578358" "1.32943966427773" "1" "1.08286859933815" "1.56876102585268" "0.051593083860994" "-273.504093027478" "5.03366592852217e-09" "7.35695948606008e-11" "bp" "32" "-37.3347676529345" "-30.6525352837026" "-58.4925465513411" "-55.114860573371" "0.341083080561309" "0.496501290142196" "0.162415629296495"
"0.684751449367744" "1.33845587158977" "1" "1.07651129801844" "1.57128859507069" "0.0512251077747692" "-273.507317329558" "4.81207784730486e-09" "7.79039055487374e-11" "bp" "33" "-37.1942227280598" "-30.4704898025902" "-58.5883826738767" "-55.1003757560871" "0.343505691099624" "0.494153467358732" "0.162340841541644"
"0.686958294266775" "1.34743451208468" "1" "1.07009453251269" "1.57383854350226" "0.0508565938654874" "-273.502577159965" "4.62666704947878e-09" "7.58788587518211e-11" "bp" "34" "-37.049312804109" "-30.2858489545599" "-58.6933844999595" "-55.0794538447236" "0.345888446674869" "0.491864400352944" "0.162247152972187"
"0.689150204866734" "1.35638685462736" "1" "1.06361743165832" "1.57641008990748" "0.050487562637957" "-273.490057821398" "4.45539072302381e-09" "7.82165443524718e-11" "bp" "35" "-36.9000311877779" "-30.0982984242349" "-58.8076063055072" "-55.0522408629142" "0.348232185243201" "0.489632910835196" "0.162134903921603"
"0.691328942519245" "1.36532350863364" "1" "1.05707928629944" "1.57900277484432" "0.0501179957736853" "-273.469921815632" "4.30564739417605e-09" "8.07673927738506e-11" "bp" "36" "-36.7463426294451" "-29.9075517208037" "-58.9311126972334" "-55.0188492415815" "0.350537691672284" "0.487457970870082" "0.162004337457634"
"0.693496274999163" "1.37425447208254" "1" "1.05047954420899" "1.58161643166556" "0.0497478404064263" "-273.44231099205" "4.16906331679456e-09" "8.29416535452765e-11" "bp" "37" "-36.588188736912" "-29.7133485325196" "-59.0639782367991" "-54.9793599752652" "0.352805702359581" "0.485338692285525" "0.161855605354893"
"0.69565396395301" "1.38318916697707" "1" "1.04381781053703" "1.5842511641949" "0.0493770125056933" "-273.407348437552" "4.04900912798212e-09" "8.72262262419099e-11" "bp" "38" "-36.4254927040012" "-29.515453547973" "-59.2062869017819" "-54.9338244918052" "0.355036908955759" "0.483274317778637" "0.161688773265604"
"0.69780375355891" "1.39213646348817" "1" "1.03709385304141" "1.58690733029888" "0.0490053995031076" "-273.365140160849" "3.94511356915928e-09" "8.61462012835545e-11" "bp" "39" "-36.2581635114945" "-29.3136556916468" "-59.3581313983879" "-54.8822662823224" "0.357231961319416" "0.481264213450329" "0.161503825230255"
"0.699947359928114" "1.40110469377187" "1" "1.03030761148232" "1.58958553074305" "0.0486328622718242" "-273.315776615822" "3.86554965814412e-09" "8.95283847057726e-11" "bp" "40" "-36.0860997305648" "-29.1077677291113" "-59.5196123354237" "-54.8246823339915" "0.359391469806267" "0.479307862536453" "0.161300667657279"
"0.702086460860728" "1.41010165625442" "1" "1.02345921065387" "1.59228660287237" "0.048259236548596" "-273.259334101986" "3.78635878206524e-09" "9.40900690693525e-11" "bp" "41" "-35.9091930370504" "-28.8976262032767" "-59.6908372649944" "-54.7610444045331" "0.36151600697723" "0.477404860131811" "0.161079132890959"
"0.704222685632486" "1.41913461103052" "1" "1.0165489765896" "1.5950116187615" "0.0478843338736045" "-273.195876074552" "3.72709951790284e-09" "9.49071932154766e-11" "bp" "42" "-35.7273315269678" "-28.6830916676012" "-59.8719195924634" "-54.6913001744214" "0.363606108795122" "0.475554908726117" "0.160838982478761"
"0.706357604545115" "1.42821026690849" "1" "1.00957745551703" "1.59776188758032" "0.0475079421106246" "-273.125454392272" "3.67890784502833e-09" "9.7678309884941e-11" "bp" "43" "-35.5404029088861" "-28.4640491851911" "-60.0629773562948" "-54.6153743106059" "0.365662275367934" "0.4737578143886" "0.160579910243466"
