"data_Name" "Iter" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "EM_endIter" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase" "bp1" "bp3"
"V110" "Aarest_data" 11 0.915473513032858 1.00395440877011 0.0315435927414441 0.0217261284419365 0.0213495509483489 0.033564812765249 -0.790438225131496 0 0 0.333512348718078 0.333255798050478 0.333231853231445 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 18 0.280808080707071 -295.937903742196 -80.0549205170696 -80.4686059616249 -80.4837664565121 319.926713779738 319.926713779738 319.926713779738
"V111" "Aarest_data" 12 0.914275256851635 1.00362540217839 0.031722986349018 0.021717546103125 0.0213715022600624 0.0294157736963854 -0.7675174408798 0 -1.13686837721616e-13 0.333517996048997 0.333252113862201 0.333229890088802 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 19 0.288888888777778 -295.93437039008 -80.0408663217104 -80.4742997971894 -80.4885936922329 359.381366380463 359.381366380463 359.381366380463
"V112" "Aarest_data" 13 0.912993975600687 1.00332810855142 0.0319154971873584 0.0217086028281732 0.0213902261102809 0.0257570350794651 -0.744289531878593 1.13686837721616e-13 0 0.333523568524596 0.333248520078596 0.333227911396808 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 19 0.296969696848485 -295.930646062707 -80.0259514132003 -80.480294956209 -80.4937893467471 403.701725859656 403.701725859656 403.701725859656
"V113" "Aarest_data" 14 0.91162921446065 1.00305989319626 0.0321214709497142 0.0216992785039568 0.0214059276262267 0.0225342744592751 -0.720656116190398 1.13686837721616e-13 1.13686837721616e-13 0.3335290218358 0.333245036956104 0.333225941208095 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 20 0.305050504919192 -295.926709181825 -80.0101152041592 -80.486612116498 -80.4993717490929 453.487850812858 453.487850812858 453.487850812858
"V114" "Aarest_data" 15 0.910180182853235 1.00281835035913 0.0323413213387678 0.0216895517918986 0.0214187925667917 0.0196985576443893 -0.696521156087016 0 1.13686837721616e-13 0.333534303971209 0.333241688438875 0.333224007589916 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 20 0.313131312989899 -295.922536949183 -79.9932919606331 -80.4932738316725 -80.5053612785262 509.413801481638 509.413801481638 509.413801481638
"V115" "Aarest_data" 16 0.908645749816293 1.0026013002781 0.0325755339399561 0.0216794000508053 0.0214289869980695 0.0172059187420075 -0.671790340670597 -5.6843418860808e-14 0 0.333539354102129 0.333238502769221 0.33322214312865 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 21 0.321212121060606 -295.918105101603 -79.9754100546442 -80.5003047436637 -80.5117806544496 572.236765935022 572.236765935022 572.236765935022
"V116" "Aarest_data" 17 0.907024446707825 1.00240678682483 0.0328246694224877 0.021668799301721 0.0214366570124844 0.0150169563393661 -0.646370560706913 -5.6843418860808e-14 0 0.333544101380609 0.333235513129782 0.333220385489609 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 22 0.329292929131313 -295.913387668439 -79.9563912586862 -80.5077317713851 -80.5186552106273 642.807311728433 642.807311728433 642.807311728433
"V117" "Aarest_data" 18 0.905314465007341 1.00223307781013 0.0330893679537507 0.0216577241688674 0.0214419282133868 0.0130964365576318 -0.620169330920163 -5.6843418860808e-14 0 0.333548463484167 0.333232758408254 0.333218778107579 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 22 0.33737373720202 -295.908356696774 -79.9361498882795 -80.5155843482157 -80.5260132402558 722.080901838547 722.080901838547 722.080901838547
"V118" "Aarest_data" 19 0.903513653296943 1.00207866925096 0.0333703542634168 0.0216461478301531 0.0214449048683601 0.0114129190815078 -0.593094235514812 0 -1.13686837721616e-13 0.3335523449445 0.333230284063772 0.333217370991728 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 23 0.345454545272727 -295.902981951723 -79.9145918532319 -80.5238946776432 -80.533886389292 811.130830789687 811.130830789687 811.130830789687
"V119" "Aarest_data" 20 0.901619516131643 1.00194229539253 0.0336684429961056 0.0216340420017102 0.0214456685749227 0.00993840261953949 -0.565052447591611 -5.6843418860808e-14 -1.13686837721616e-13 0.33355563529439 0.333228143076597 0.333216221629013 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 24 0.353535353343434 -295.897230594848 -79.8916136533655 -80.5326979839023 -80.5423100884314 911.16275611549 911.16275611549 911.16275611549
"V120" "Aarest_data" 21 0.899629204194904 1.00182294905617 0.0339845460897824 0.0216213769146587 0.0214442759414807 0.00864799223404589 -0.535950225333735 -5.6843418860808e-14 0 0.333558206889799 0.333226397058404 0.333215396051798 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 24 0.361616161414141 -295.891066806059 -79.8671011484652 -80.5420328085244 -80.5513241084779 1023.53102189903 1023.53102189903 1023.53102189903
"V121" "Aarest_data" 22 0.897539497147786 1.0017199169507 0.0343196821244681 0.0216081213162751 0.0214407548551869 0.00751959009053849 -0.505692441813295 0 1.13686837721616e-13 0.333559912436839 0.333225117504623 0.333214970058538 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 25 0.369696969484848 -295.884451342899 -79.8409281161554 -80.5519413236837 -80.5609732483985 1149.75699539774 1149.75699539774 1149.75699539774
"V122" "Aarest_data" 23 0.895346777212866 1.00163283999142 0.0346749881491346 0.0215942425329295 0.0214350983851968 0.00653360997691266 -0.474182214199473 -5.6843418860808e-14 -1.13686837721616e-13 0.333560582292585 0.333224387156317 0.333215030551098 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 26 0.377777777555556 -295.877341020156 -79.8129545772317 -80.5624696257312 -80.571308196147 1291.54966501488 1291.54966501488 1291.54966501488
"V123" "Aarest_data" 24 0.893046974309484 1.00156181547581 0.0350517374018535 0.0215797065615405 0.0214272546246639 0.0056727143191182 -0.441320517908025 -5.6843418860808e-14 0 0.333560021384874 0.333224301551149 0.333215677063977 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 26 0.385858585626263 -295.869688031334 -79.7830245841703 -80.5736680537663 -80.5823867432182 1450.82877849594 1450.82877849594 1450.82877849594
"V124" "Aarest_data" 25 0.8906354668606 1.00150757228574 0.0354513661312588 0.0215644782463455 0.0214171094639122 0.00492157339495236 -0.407005842883791 0 0 0.333558005841542 0.333224970718078 0.33321702344038 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 27 0.39393939369697 -295.861439025437 -79.7509632485002 -80.5855914784553 -80.5942755455527 1629.75083462065 1629.75083462065 1629.75083462065
"V125" "Aarest_data" 26 0.888106903653599 1.00147178048599 0.0358755162711007 0.0215485216326833 0.0214044563590511 0.00426664552573186 -0.371133961598048 -5.6843418860808e-14 0 0.333554279555161 0.333226520903648 0.333219199541191 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 28 0.402020201767677 -295.852533763988 -79.7165725414605 -80.5982994628806 -80.6070528195846 1830.73828029537 1830.73828029537 1830.73828029537
"V126" "Aarest_data" 27 0.885454851230327 1.00145762470489 0.0363261119452583 0.0215318005509258 0.0213889404443756 0.00369597543542 -0.333597637793829 0 0 0.333548550710227 0.333229096321525 0.333222352968248 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 29 0.410101009838384 -295.842902913068 -79.6796244790295 -80.6118562516237 -80.6208129609883 2056.51230834865 2056.51230834865 2056.51230834865
