"data_Name" "Iter" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "EM_endIter" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase" "bp1" "bp3"
"FRT_censord" 1 0.984440007642778 3.9430103411318 0.0462504593092999 0.00967332540660243 1.30218756303766e-10 0.632515778194675 -0.00339788136609798 0 0 0.109150696225888 0.359015811925922 0.53183349184819 0.1 1 2 0.1 0.8 0.1 639 1 -154.802632883474 -13.5266250075281 -57.5144128548527 -55.4009068395072 100 100 100
"FRT_censord" 2 0.986134270079402 3.93869485815231 0.0460657326252359 0.00966505787524386 1.33503992462578e-10 0.63299808295122 -0.00302928724570961 0 7.62939453125e-06 0.109374436748768 0.358695607880684 0.531929955370548 0.1 1 2 0.1 0.8 0.1 411 1 -154.806890558785 -13.5469758818655 -57.4642575911764 -55.4281257151087 112.332403297803 112.332403297803 112.332403297803
"FRT_censord" 3 0.987645266765131 3.93485556656574 0.0459015704824026 0.00965772196470872 1.36496333731314e-10 0.63341675725305 -0.00270024497018539 1.4210854715202e-14 -7.62939453125e-06 0.10957233467503 0.358411780550313 0.532015884774658 0.1 1 2 0.1 0.8 0.1 404 1 -154.810624001468 -13.5649133583567 -57.4197827806495 -55.452369937322 126.185688306602 126.185688306602 126.185688306602
"FRT_censord" 4 0.988992600267429 3.93143965331663 0.0457556527864894 0.00965121015317636 1.39215039868032e-10 0.633781197835754 -0.00240659987694869 0 0 0.109747502041211 0.358160072918344 0.532092425040445 0.1 1 2 0.1 0.8 0.1 398 1 -154.813903021842 -13.580740682874 -57.3803272707362 -55.473963426775 141.747416292681 141.747416292681 141.747416292681
"FRT_censord" 5 0.990193812363944 3.9284002240102 0.0456259281594492 0.00964542789568578 1.41679605398424e-10 0.634099210609442 -0.00214461513444064 1.4210854715202e-14 -7.62939453125e-06 0.109902649423962 0.35793675270739 0.532160597868649 0.1 1 2 0.1 0.8 0.1 391 1 -154.816787084662 -13.5947195493656 -57.3453106690341 -55.4931950543664 159.228279334109 159.228279334109 159.228279334109
"FRT_censord" 6 0.991264596551993 3.92569562131518 0.0455105810812949 0.00964029192418782 1.43909339707057e-10 0.634377319149115 -0.00191093363917361 -1.4210854715202e-14 0 0.110040143685478 0.357738541424059 0.532221314890463 0.1 1 2 0.1 0.8 0.1 385 1 -154.819327055739 -13.6070765279928 -57.3142225656147 -55.5103224338831 178.864952905744 178.864952905744 178.864952905744
"FRT_censord" 7 0.992218988116215 3.92328883585337 0.0454080037668108 0.00963572881352131 1.45923042295808e-10 0.634621006355902 -0.0017025425272621 0 0 0.110162055125347 0.357562555915499 0.532275388959154 0.1 1 2 0.1 0.8 0.1 379 1 -154.821566582081 -13.6180082096326 -57.2866136416804 -55.5255751971581 200.923300256505 200.923300256505 200.923300256505
"FRT_censord" 8 0.993069535290634 3.92114697527574 0.0453167713318154 0.00963167373781092 1.47738775530711e-10 0.634834904558769 -0.00151674033974558 0 0 0.110270198492973 0.357406256587371 0.532323544919656 0.1 1 2 0.1 0.8 0.1 374 1 -154.823543256787 -13.6276856628376 -57.2620877558609 -55.5391580499765 225.701971963392 225.701971963392 225.701971963392
"FRT_censord" 9 0.993827452891108 3.91924080439053 0.0452356204117196 0.0096280694117595 1.49373701201715e-10 0.63502294662506 -0.00135110678491657 0 0 0.110366166697098 0.35726740452553 0.532366428777372 0.1 1 2 0.1 0.8 0.1 368 1 -154.825289544594 -13.6362580161872 -57.2402953835486 -55.5512534065303 253.536449397011 253.536449397011 253.536449397011
"FRT_censord" 10 0.99450276059261 3.91754432766408 0.0451634301336979 0.0096248651621115 1.50843984710556e-10 0.63518848636549 -0.00120347502488727 0 0 0.110451360721164 0.357144022753401 0.532404616525436 0.1 1 2 0.1 0.8 0.1 363 1 -154.826833583535 -13.643855641362 -57.2209276628302 -55.5620238663375 284.80358684358 284.80358684358 284.80358684358
