"beta1" "lambda1" "beta2" "lambda2" "beta3" "lambda3" "sumQfunc" "diffB_beta1" "diffB_beta3" "bp" "iter" "Beta1 at 1" "Q1" "Q2" "Q3" "pi1" "pi2" "pi3"
"0.693788631924106" "0.0287599243539114" "1" "0.00721949353288017" "2.56142942186065" "3.6268594082354e-07" "-167.558593968048" "3.19124637826462e-09" "4.48494574811775e-11" "bp" "1" "-2.51460855758802" "-25.1810595500849" "-64.0596045959748" "-47.2876588689657" "0.173577024335753" "0.412036643437183" "0.414386332227064"
"0.711412385886553" "0.0347918141112626" "1" "0.00719271325030263" "3.08432977306997" "1.7794341616764e-08" "-165.341475753497" "5.25801624462474e-13" "1.38110457470475e-06" "bp" "2" "-2.54905529736997" "-23.8678098040377" "-63.6940878900655" "-47.1551856093273" "0.159141843824514" "0.409785221705915" "0.431072934469572"
"0.728116802207026" "0.0388623103960443" "1" "0.00755147947164641" "3.57675996769403" "1.03411319275982e-09" "-163.268202898847" "2.02504679691629e-13" "2.23840949331588e-07" "bp" "3" "-2.54274817241465" "-23.3775125490587" "-62.5861053790664" "-46.8393046561063" "0.154802845675402" "0.399282157590572" "0.445914996734026"
"0.752816412503107" "0.0394866310700428" "1" "0.00803746796357695" "3.98347210394415" "9.87879836963659e-11" "-161.527254928361" "2.87769807982841e-12" "1.82318586894326e-08" "bp" "4" "-2.36562267227444" "-23.2115439573338" "-61.1427523517859" "-46.7999271457318" "0.153609471532681" "0.386659657771853" "0.459730870695466"
"0.779144476977596" "0.0382099451366953" "1" "0.00852301086738002" "4.2751621428453" "1.83882755253163e-11" "-160.187328673155" "2.90611978925881e-12" "6.60158150367351e-10" "bp" "5" "-2.11400834181153" "-23.1664293035243" "-59.6986194220252" "-47.0238028012358" "0.153466893895004" "0.375075451985244" "0.471457654119753"
"0.802571458259549" "0.0364177203253893" "1" "0.00894326419470889" "4.45582487496825" "6.50805375624412e-12" "-159.223477352408" "7.28306304154103e-13" "8.41282599139959e-12" "bp" "6" "-1.87060128513282" "-23.1548725859249" "-58.3992927857637" "-47.4385289880862" "0.153608686112157" "0.365468735805259" "0.480922578082584"
"0.821410462839012" "0.0347815006285911" "1" "0.00927988575774112" "4.54868966847088" "3.82473196687768e-12" "-158.561130527664" "1.63424829224823e-13" "2.86379723490882e-07" "bp" "7" "-1.67104110792174" "-23.1479001268945" "-57.2747897641912" "-47.9695348321805" "0.153788873611381" "0.357723492802614" "0.488487633586005"
"0.835688246790591" "0.0335087056463543" "1" "0.00954008697664927" "4.58136227603747" "3.18041252539027e-12" "-158.116262090623" "3.43544513725647e-07" "4.28675406283219e-09" "bp" "8" "-1.52063200937107" "-23.140196880414" "-56.3069739160224" "-48.5560297934513" "0.15395838699828" "0.351422341573925" "0.494619271427795"
"0.846175974486896" "0.0325975180103468" "1" "0.00973965206187057" "4.57715177311738" "3.27026543652103e-12" "-157.817962930526" "9.33714368045457e-08" "1.55999291706621e-06" "bp" "9" "-1.41194021942114" "-23.1336140326136" "-55.4661525525787" "-49.1550273163499" "0.154128914556412" "0.346166460844423" "0.499704624599165"
"0.853813571522967" "0.0319767484479828" "1" "0.00989400380640224" "4.55259984702524" "3.77961466847763e-12" "-157.61470344352" "2.49468996571522e-08" "1.44358125453437e-09" "bp" "10" "-1.3345823798067" "-23.1310698892566" "-54.7254715236908" "-49.7392584753896" "0.154322206841744" "0.341658924667888" "0.504018868490368"
