"filename" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase"
"RearDump" 0.603228022252995 1.00000056312846 0.798102586907857 1.08873381664106 0.513164424678267 8.53883993556792e-06 -17.5793442888199 -3.19536064274928e-15 -1.65839564303383e-15 0.381555606949972 0.311048229327869 0.307396163722159 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.64040404030303 -315.699641114413 -73.7072936941747 -36.4293560814161 -65.5972003127786 101019.090909091
"RearDump" 0.603425817020758 1.0000005171785 0.798487600398615 1.10022942487196 0.509662867326538 7.77884886815627e-06 -17.4007221922151 -3.66373598126302e-15 -2.55004350968591e-15 0.381811443071236 0.311071722134642 0.307116834794123 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.644444444333333 -315.487726230236 -73.7084312677628 -36.0138940804639 -65.8067499729013 111120
"RearDump" 0.603630454359952 1.00000047903257 0.798896433601998 1.11168725399148 0.506210377777915 7.14603406493097e-06 -17.2206517653649 -7.52869988573934e-16 3.25781068788444e-15 0.382062300239576 0.311104790389103 0.30683290937132 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.648484848363636 -315.275636275845 -73.706024392744 -35.6051653542752 -66.0128675956803 121220.909090909
"RearDump" 0.603842006991688 1.00000044690882 0.799328956552259 1.12311012787255 0.502803047896886 6.61105519128569e-06 -17.0392457891854 -7.68829444552921e-15 6.17214612752548e-15 0.382308139106048 0.311147635314344 0.306544225579609 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.652525252393939 -315.063343679384 -73.7000792382836 -35.202925372805 -66.2157640264344 131321.818181818
"RearDump" 0.604060545884185 1.00000041947976 0.799785147375177 1.13450006211469 0.499437297407574 6.1529542776384e-06 -16.8566103750311 3.5752650839882e-15 -2.14411821630733e-15 0.38254891914596 0.311200471391595 0.306250609462445 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.656565656424242 -314.850826584945 -73.6905916603436 -34.806967886502 -66.4156281061069 141422.727272727
"RearDump" 0.604286141371064 1.00000039583195 0.800265097331926 1.14585833226663 0.496109808978637 5.75636158828274e-06 -16.672845788156 2.81025203108243e-16 3.12250225675825e-15 0.382784598174457 0.311263527420303 0.30595187440524 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.660606060454545 -314.638068203546 -73.6775465769276 -34.4171207429441 -66.6126308399026 151523.636363636
"RearDump" 0.604518864877209 1.00000037525302 0.800769019803578 1.15718554097133 0.49281746561187 5.40974987472964e-06 -16.4880470825594 1.25767452008319e-15 -8.02136135291676e-15 0.38301513119427 0.311337048182157 0.305647820623574 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.664646464484848 -314.425056044796 -73.6609168143631 -34.0332420731996 -66.806929589966 161624.545454545
"RearDump" 0.604758791133952 1.00000035721369 0.801297263219998 1.16848168247116 0.489557290071483 5.10430412248297e-06 -16.3023045699196 5.85989590184965e-15 1.16434639707563e-14 0.383240468662266 0.311421296770071 0.305338234567664 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.668686868515151 -314.211781045014 -73.6406614480867 -33.6552168775241 -66.9986722574418 171725.454545455
"RearDump" 0.605005998999567 1.00000034127705 0.801850307686657 1.17974616943564 0.486326423300065 4.83316832600167e-06 -16.1157040513955 -1.13728471085039e-14 4.63865057476198e-15 0.383460557199245 0.311516554383456 0.305022888417299 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.672727272545455 -313.998237040137 -73.6167262835684 -33.2829548216814 -67.1879985255595 181826.363636364
"RearDump" 0.605260574715296 1.0000003271163 0.802428785535595 1.19097789675674 0.483122063610182 4.59093026705659e-06 -15.9283270562742 1.1294784552085e-14 1.48492329543615e-14 0.383675336714 0.311623123838164 0.304701539447836 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.676767676575758 -313.78441970122 -73.5890412167136 -32.9163873274612 -67.3750442995557 191927.272727273
"RearDump" 0.605522613724118 1.0000003144716 0.80303348568443 1.2021752676291 0.479941443433004 4.37326047375564e-06 -15.7402508856932 8.88178419700125e-16 -6.6266436782314e-15 0.383884740010088 0.311741330544937 0.304373929444975 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.680808080606061 -313.57032583139 -73.5575197366834 -32.5554658205266 -67.5599432770907 202028.181818182
"RearDump" 0.605792223336979 1.00000030312971 0.803665365881574 1.21333622621128 0.476781796840943 4.17671297014977e-06 -15.5515486096931 5.30825383648903e-16 -1.22471477403963e-15 0.384088691282544 0.311871524685909 0.304039784031547 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.684848484636364 -313.355952500259 -73.522057426949 -32.2001599936937 -67.7428293167633 212129.090909091
"RearDump" 0.606069523965815 1.00000029291668 0.80432554503112 1.22445825879455 0.473640364771072 3.99830484099084e-06 -15.3622889295879 -8.53483950180589e-16 -9.77343206365333e-15 0.384287107552399 0.312014080067753 0.303698812379848 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.688888888666667 -313.14129656274 -73.4825330583137 -31.8504568620652 -67.923835888175 222230
"RearDump" 0.606354653931701 1.00000028366335 0.805015338686822 1.23553844494202 0.470514332460459 3.83572680817679e-06 -15.1725361260018 5.83734449666196e-15 -1.50782164531904e-14 0.384479893993583 0.312169399899633 0.303350706106784 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.69292929269697 -312.926353367865 -73.4388041630102 -31.506358968598 -68.1031009246264 232330.909090909
"RearDump" 0.606647770076044 1.0000002753086 0.805736239236973 1.24657343365123 0.467400861931196 3.68700676744993e-06 -14.9823497804657 -9.39005817546246e-15 -7.66053886991358e-15 0.384666947318986 0.312337913412614 0.3029951392684 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.696969696727273 -312.71111652035 -73.3907097617876 -31.1678841787172 -68.2807642024896 242431.818181818
"RearDump" 0.606949051928293 1.00000026770687 0.806489939233254 1.25755946806108 0.464297056900656 3.55048907607625e-06 -14.7917845932453 2.88311041707345e-15 4.13211131977675e-15 0.384848153101141 0.312520079333953 0.302631767564906 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.701010100757576 -312.495576851719 -73.3380675891573 -30.8350646417681 -68.4569701111122 252532.727272727
"RearDump" 0.607258704470234 1.00000026077753 0.807278334564537 1.26849238104785 0.461199963478551 3.42477370907091e-06 -14.6008901035585 -2.9316826744008e-15 4.54497550705923e-16 0.385023386176121 0.312716385876912 0.302260227946967 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.705050504787879 -312.279721775552 -73.2806739682325 -30.5079463957385 -68.6318676003086 262633.636363636
"RearDump" 0.607576961398552 1.00000025445141 0.808103531200286 1.27936759120422 0.458106567701065 3.30866903652804e-06 -14.4097103909534 5.5875443161213e-15 -1.12687636999453e-14 0.385192510692145 0.312927351038031 0.301880138269824 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.709090908818182 -312.063534591983 -73.2183032799575 -30.1865890303578 -68.8056104203819 272734.545454545
"RearDump" 0.607904088808177 1.0000002486674 0.808967855483246 1.29018009692578 0.455013790654551 3.20115478302796e-06 -14.2182837527642 -1.04170144732407e-14 -1.64451785522601e-15 0.385355379911085 0.313153523210357 0.301491096878558 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.713131312848485 -311.846993751224 -73.1507070582371 -29.8710654784618 -68.9783575668237 282835.454545455
"RearDump" 0.608240388064455 1.00000024337218 0.809873846912632 1.30092445735628 0.451918509991146 3.10135251169186e-06 -14.0266423340053 5.49213452494257e-15 -5.58927903959727e-15 0.385511838530097 0.313395478437938 0.301092683031965 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.717171716878788 -311.630072394957 -73.0776153409424 -29.5614619307477 -69.1502716927501 292936.363636364
"RearDump" 0.608586200154886 1.00000023851746 0.810824270508503 1.31159478439382 0.448817555504056 3.00850232548555e-06 -13.8348117649548 -4.33680868994202e-17 -8.57647286522933e-15 0.385661722633738 0.313653820609602 0.30068445675666 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.721212120909091 -311.412737598092 -72.9987356407758 -29.2578777253524 -69.3215195722813 303037.272727273
"RearDump" 0.60894191030022 1.00000023405999 0.811822131258068 1.32218472846556 0.445707705645655 2.92194351914077e-06 -13.6428107646543 3.60475538307981e-15 9.0275009689833e-15 0.385804859756924 0.313929181616168 0.300265958626908 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.725252524939394 -311.194949613669 -72.9137517754705 -28.9604254609836 -69.4922724941294 313138.181818182
"RearDump" 0.609307950957338 1.00000023001098 0.812870654053662 1.33268745176636 0.442585730284331 2.84109955117628e-06 -13.4506507038828 3.56138729618038e-15 2.73045475118749e-15 0.385941073580918 0.314222214988466 0.299836711430616 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.729292928969697 -310.976661611899 -72.8223270403198 -28.6692309249703 -69.662703109798 323239.090909091
"RearDump" 0.609684806179688 1.0000002262698 0.813973281104476 1.34309561360577 0.43944840996986 2.76546525412869e-06 -13.2583351823641 3.78343190110542e-15 -5.13478148889135e-16 0.386070186543979 0.314533591941018 0.299396221515003 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.733333333 -310.757819158172 -72.7241052698268 -28.3844329330889 -69.832984168789 333340
"RearDump" 0.610073017013203 1.00000022285231 0.815133686349139 1.35340135697588 0.436292535946896 2.69459647483927e-06 -13.0658595906804 3.52148865623292e-15 8.60422844084496e-15 0.386192020793484 0.314863999857675 0.29894397934884 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.737373737030303 -310.538359477364 -72.6187099494066 -28.1061834112571 -70.0032887124522 343440.909090909
"RearDump" 0.61047318523966 1.0000002197289 0.816355753077005 1.36359629108346 0.433114956541139 2.62810146978154e-06 -12.873210666481 -6.08714467720262e-15 -1.14110110249754e-14 0.386306403866432 0.315214133614919 0.298479462518649 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.741414141060606 -310.318211236195 -72.5057479005642 -27.8346470133377 -70.1737867868111 353541.818181818
"RearDump" 0.610885977090366 1.00000021688075 0.817643545830929 1.37367148576008 0.429912627504326 2.56563388489894e-06 -12.6803660898122 4.9439619065339e-16 -2.60208521396521e-15 0.386413175144232 0.315584685175537 0.298002139680232 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.745454545090909 -310.097294389562 -72.3848136920591 -27.5700003262895 -70.3446419149522 363642.727272727
"RearDump" 0.611312128726082 1.00000021429169 0.81900131784336 1.38361746904822 0.42668262086991 2.50688653835596e-06 -12.4872940838979 -1.07431424867244e-14 -6.91807722219551e-15 0.386512188426496 0.31597633875381 0.297511472819694 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.749494949121212 -309.875519612385 -72.2554898567967 -27.3124315743929 -70.5160107542924 373743.636363636
"RearDump" 0.61175244854895 1.00000021189775 0.82043345315912 1.39342424106909 0.423422206482874 2.45158654621491e-06 -12.2939531233524 -9.40220123979429e-16 -3.79904441238921e-15 0.38660332212747 0.316389753687164 0.297006924185367 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.753535353151515 -309.652788595925 -72.1173549874949 -27.0621388800414 -70.6880373364203 383844.545454545
"RearDump" 0.612207821093551 1.00000020978215 0.821944446715108 1.40308129666387 0.420128886813791 2.39949092417646e-06 -12.1002917014453 7.08981484631721e-15 1.34441069388203e-14 0.386686485173975 0.316825553370389 0.296487961455636 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.757575757181818 -309.428993923744 -71.9699873018346 -26.8193289460437 -70.8608508772962 393945.454545455
"RearDump" 0.612679209106786 1.00000020785405 0.82353885490698 1.41257766672354 0.41680046114854 2.35038297091705e-06 -11.9062482471331 1.05644659686988e-15 9.04831765069503e-15 0.386761626102605 0.317284308283852 0.295954065613543 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.761616161212121 -309.204019415663 -71.812971703654 -26.5842148361876 -71.0345614981366 404046.363636364
"RearDump" 0.613167654676502 1.00000020614645 0.825221241436985 1.42190197929241 0.413435088575185 2.30406904222491e-06 -11.7117512152947 8.06819888676813e-15 4.02455846426619e-16 0.386828742493739 0.31776651774882 0.295404739757441 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.765656565242424 -308.977740631714 -71.6459073458154 -26.3570132538369 -71.2092560725481 414147.272727273
"RearDump" 0.613674278761878 1.00000020468976 0.826996110176088 1.43104254506386 0.410031357759654 2.26037590778105e-06 -11.5167194118101 -6.55725473919233e-16 4.85722573273506e-15 0.386887891299206 0.318272589005485 0.294839519695309 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.769696969272727 -308.750025697071 -71.4684165793347 -26.137941084726 -71.3849937070037 424248.181818182
"RearDump" 0.614200280004772 1.00000020337857 0.828867851040731 1.43998745483525 0.406588336405782 2.21914832820858e-06 -11.3210625272771 -4.80518402845576e-15 2.02823868811208e-14 0.386939197317548 0.318802818436084 0.294257984246367 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.77373737330303 -308.520736169534 -71.2801522316091 -25.927211967704 -71.5618028098465 434349.090909091
"RearDump" 0.614746929525891 1.00000020226533 0.830840637116431 1.44872472606178 0.403105658827104 2.180246916339e-06 -11.124682103685 -9.57567358739198e-16 1.52308721190764e-15 0.386982865767916 0.319357364419954 0.29365976981213 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.777777777333333 -308.289728705187 -71.0808102732236 -25.7250309732203 -71.7396754592577 444450
"RearDump" 0.615315565527729 1.00000020134014 0.832918359720209 1.45724245001508 0.399583566318964 2.14354636796088e-06 -10.9274727333625 -8.74300631892311e-16 -1.69829428298129e-14 0.387019189940429 0.319936227242998 0.293044582816573 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.781818181363636 -308.056856559022 -70.870137756033 -25.5315900404 -71.9185653980028 454550.909090909
"RearDump" 0.615907584331566 1.00000020060108 0.835104536964694 1.4655289760056 0.396022961876332 2.10893370677923e-06 -10.7293237035709 2.43555176027144e-15 -3.67761376907083e-15 0.387048560203872 0.320539225190376 0.292412214605752 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.785858585393939 -307.821971689116 -70.6479434027909 -25.3470622178045 -72.0983851028647 464651.818181818
"RearDump" 0.616524430417472 1.00000020004741 0.837402251094357 1.47357309320333 0.392425427810403 2.07630679227577e-06 -10.5301209054257 -5.33600941210466e-15 -3.62210261783957e-15 0.387071468896748 0.321165976678389 0.291762554424863 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.789898989424242 -307.584926833912 -70.4141044751936 -25.1715965890051 -72.2790056956941 474752.727272727
"RearDump" 0.617167581855481 1.00000019967959 0.83981404540492 1.48136426252164 0.388793267713406 2.04557306204833e-06 -10.3297492958859 7.35522753814166e-16 -9.21138165743685e-15 0.387088517129308 0.321815876942614 0.291095605928078 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.793939393454545 -307.345578383854 -70.1685776412489 -25.0053114565531 -72.4602553033316 484853.636363636
"RearDump" 0.617838537141527 1.00000019949922 0.84234189449858 1.48889280104837 0.385129474395983 2.01664817467417e-06 -10.1280953780844 -7.39339145461315e-15 -1.42594269725294e-15 0.387100413398077 0.32248808885888 0.290411497743043 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.797979797484848 -307.103788668779 -69.91140107434 -24.8482900083732 -72.6419229008432 494954.545454545
"RearDump" 0.618538798316121 1.00000019950901 0.844987143406967 1.49615009988326 0.381437717001188 1.98945505047732e-06 -9.92505010259399 -6.36816988031086e-15 4.69763117294519e-15 0.387107973241562 0.323181530280795 0.289710496477644 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.802020201515152 -306.859428863892 -69.642699488249 -24.7005747457803 -72.8237609887751 505055.454545455
"RearDump" 0.619269854726197 1.00000019971279 0.84775048941467 1.5031288070691 0.377722286127581 1.96392279860902e-06 -9.72051176475256 5.83214032623403e-15 -1.62717062046625e-14 0.387112113672234 0.323894870389166 0.2889930159386 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.806060605545455 -306.612381565103 -69.3626839112763 -24.5621634999423 -73.0054914616378 515156.363636364
"RearDump" 0.620033166626827 1.0000002001155 0.850631978866378 1.50982299273006 0.373988024221962 1.93998589992361e-06 -9.51438891643079 5.70030134205979e-15 7.65013052905772e-15 0.387113845065255 0.324626530217968 0.288259624716777 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.810101009575758 -306.362543281423 -69.0716493782982 -24.433006111119 -73.1868127177711 525257.272727273
"RearDump" 0.620830151446612 1.00000020072317 0.853631052596646 1.51622825344323 0.370240219733931 1.9175834751195e-06 -9.30660295057569 3.66026653431106e-15 1.23095977855314e-14 0.387114258488176 0.325374692311854 0.28751104919997 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.814141413606061 -306.109826327644 -68.7699670669111 -24.3130032724155 -73.3674094848207 535358.181818182
"RearDump" 0.621662169015752 1.00000020154302 0.856746565452663 1.52234183238815 0.366484524610327 1.89665855288013e-06 -9.09709071920637 -2.35055030994857e-15 4.79130624064794e-15 0.387114514266446 0.326137307370357 0.286748178363197 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.818181817636364 -305.854160948065 -68.4580789987201 -24.2020044675302 -73.5469612004209 545459.090909091
"RearDump" 0.622530513699298 1.00000020258344 0.859976894672728 1.52816262171292 0.362726814448643 1.87715783539488e-06 -8.88580629163391 1.25593979660721e-15 -1.0991207943789e-14 0.387115824349138 0.326912115056856 0.285972060594006 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.822222221666667 -305.595496134151 -68.1364832777386 -24.0998099409292 -73.7251545052197 555560
"RearDump" 0.623436406484542 1.00000020385655 0.863320012420148 1.53369118425396 0.35897308638205 1.85903089544581e-06 -8.67272259042889 -1.870031907103e-15 1.09426356864617e-14 0.38711943771667 0.327696658946728 0.285183903336603 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.82626262569697 -305.333800619314 -67.8057233140335 -24.0061714097359 -73.9016932388282 565660.909090909
"RearDump" 0.624380994099062 1.00000020537579 0.866773622687847 1.538929675163 0.355229326560082 1.84223031851616e-06 -8.45783211040895 9.84455572616838e-15 -9.54791801177635e-15 0.387126622843537 0.328488309896399 0.284385067260064 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.830303029727273 -305.069062717233 -67.4663706904088 -23.9207958693756 -74.0763106142313 575761.818181818
"RearDump" 0.625365348185663 1.00000020709809 0.8703352507442 1.54388180137097 0.351501424955044 1.82671115567246e-06 -8.24114753022112 -7.13491765669261e-15 -3.7470027081099e-16 0.387138654494063 0.329284280798793 0.283577064707144 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.834343433757576 -304.801290402353 -67.1190134235911 -23.8433474779337 -74.2487782395019 585862.727272727
"RearDump" 0.626390473412853 1.00000020915112 0.874002410092431 1.54855266127535 0.347795056982201 1.81243105146223e-06 -8.02270120662217 4.34721703079788e-15 6.85562717706034e-15 0.387156798213024 0.33008164955926 0.282761552227716 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.838383837787879 -304.530509994373 -66.7642369727482 -23.7734531004342 -74.4189174617924 595963.636363636
"RearDump" 0.627457315742822 1.00000021145828 0.877772717630998 1.55294863339704 0.344115616819184 1.79935003075116e-06 -7.80254461645578 -1.2490009027033e-15 -1.51406664983256e-14 0.387182299975992 0.33087737130528 0.281940328718727 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.842424241818182 -304.256765163488 -66.402611301682 -23.7107055517599 -74.5866073614393 606064.545454545
"RearDump" 0.628566776668917 1.00000021411145 0.881644040764512 1.55707721045233 0.340468147807689 1.78743079715105e-06 -7.58074711352578 6.18949336228525e-15 9.71445146547012e-15 0.387216376803989 0.331668290833842 0.281115332362169 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.846464645848485 -303.980115162445 -66.0346755858745 -23.6546682216589 -74.7517930593501 616165.454545454
