"data_Name" "Iter" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "EM_endIter" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase" "bp1" "bp3"
"FRT_censord" 1 0.984440007643158 3.94301034163004 0.046250459324999 0.00967332540723177 1.30218755926247e-10 0.632515778210379 -0.00339788136554375 0 1.52587890625e-05 0.109150696166035 0.359015812013598 0.531833491820367 0.1 1 5 0.25 0.5 0.25 616 1 -154.802632881579 -13.5266249989805 -57.5144128688356 -55.4009068339869 100 100 100
"FRT_censord" 2 0.986134270079403 3.93869485815236 0.0460657326252362 0.00966505787524387 1.33503992462545e-10 0.632998082951227 -0.00302928724572382 2.8421709430404e-14 1.52587890625e-05 0.109374436748767 0.358695607880685 0.531929955370547 0.1 1 5 0.25 0.5 0.25 411 1 -154.806890558784 -13.5469758818653 -57.4642575911766 -55.4281257151086 112.332403297803 112.332403297803 112.332403297803
"FRT_censord" 3 0.987645266765131 3.93485556656574 0.045901570482403 0.00965772196470874 1.36496333731317e-10 0.63341675725305 -0.00270024497013566 -2.8421709430404e-14 1.52587890625e-05 0.109572334675028 0.358411780550316 0.532015884774657 0.1 1 5 0.25 0.5 0.25 404 1 -154.810624001467 -13.5649133583564 -57.41978278065 -55.4523699373217 126.185688306602 126.185688306602 126.185688306602
"FRT_censord" 4 0.988992600267429 3.93143965331665 0.0457556527864895 0.00965121015317634 1.39215039868013e-10 0.633781197835761 -0.00240659987697001 0 0 0.10974750204121 0.358160072918344 0.532092425040445 0.1 1 5 0.25 0.5 0.25 398 1 -154.813903021842 -13.5807406828739 -57.3803272707363 -55.4739634267751 141.747416292681 141.747416292681 141.747416292681
"FRT_censord" 5 0.990193812363944 3.92840022401019 0.0456259281594494 0.00964542789568577 1.41679605398433e-10 0.634099210609442 -0.00214461513443354 -1.4210854715202e-14 0 0.109902649423961 0.35793675270739 0.532160597868648 0.1 1 5 0.25 0.5 0.25 391 1 -154.816787084662 -13.5947195493656 -57.3453106690341 -55.4931950543665 159.228279334109 159.228279334109 159.228279334109
"FRT_censord" 6 0.991264596551993 3.92569562131515 0.0455105810812949 0.00964029192418781 1.43909339707081e-10 0.634377319149118 -0.00191093363914518 -2.8421709430404e-14 0 0.110040143685478 0.357738541424059 0.532221314890463 0.1 1 5 0.25 0.5 0.25 385 1 -154.819327055739 -13.6070765279928 -57.3142225656146 -55.5103224338833 178.864952905744 178.864952905744 178.864952905744
"FRT_censord" 7 0.992218988116215 3.92328883585339 0.0454080037668108 0.00963572881352135 1.45923042295786e-10 0.634621006355887 -0.00170254252724789 -1.4210854715202e-14 -7.62939453125e-06 0.110162055125347 0.357562555915501 0.532275388959152 0.1 1 5 0.25 0.5 0.25 379 1 -154.821566582081 -13.6180082096326 -57.2866136416807 -55.5255751971577 200.923300256505 200.923300256505 200.923300256505
"FRT_censord" 8 0.993069535290634 3.9211469752757 0.0453167713318155 0.00963167373781092 1.47738775530737e-10 0.634834904558762 -0.00151674033972427 -2.8421709430404e-14 -7.62939453125e-06 0.110270198492973 0.357406256587372 0.532323544919656 0.1 1 5 0.25 0.5 0.25 374 1 -154.823543256787 -13.6276856628376 -57.2620877558609 -55.5391580499766 225.701971963392 225.701971963392 225.701971963392
"FRT_censord" 9 0.993827452891108 3.91924080439053 0.0452356204117197 0.00962806941175949 1.49373701201713e-10 0.635022946625062 -0.00135110678490236 -2.8421709430404e-14 7.62939453125e-06 0.110366166697098 0.357267404525531 0.532366428777371 0.1 1 5 0.25 0.5 0.25 368 1 -154.825289544594 -13.6362580161871 -57.2402953835487 -55.5512534065302 253.536449397011 253.536449397011 253.536449397011
"FRT_censord" 10 0.99450276059261 3.91754432766409 0.0451634301336979 0.00962486516211152 1.50843984710541e-10 0.635188486365482 -0.00120347502487306 1.4210854715202e-14 7.62939453125e-06 0.110451360721163 0.357144022753402 0.532404616525435 0.1 1 5 0.25 0.5 0.25 363 1 -154.826833583535 -13.643855641362 -57.2209276628303 -55.5620238663373 284.80358684358 284.80358684358 284.80358684358
"FRT_censord" 11 0.99510440742561 3.91603443319736 0.0450992058198746 0.00962201613859352 1.52164732753102e-10 0.635334395790226 -0.00107190635756638 0 -7.62939453125e-06 0.110527013636941 0.357034365074756 0.532438621288303 0.1 1 5 0.25 0.5 0.25 357 1 -154.828199802399 -13.6505926192802 -57.2037116086814 -55.5716142772961 319.926713779738 319.926713779738 319.926713779738
"FRT_censord" 12 0.995640383832728 3.91469056306578 0.0450420642491768 0.00961948260966838 1.53349979664273e-10 0.63546314341021 -0.00095466717310444 -5.6843418860808e-14 0 0.110594212818859 0.356936886667127 0.532468900514014 0.1 1 5 0.25 0.5 0.25 352 1 -154.82940948469 -13.6565690574647 -57.188405572614 -55.5801537384136 359.381366380463 359.381366380463 359.381366380463
"FRT_censord" 13 0.996117822110862 3.91349443482519 0.0449912211039258 0.00961722936561235 1.54412687903143e-10 0.635576858434323 -0.000850208026641042 1.4210854715202e-14 0 0.110653917520003 0.356850220830738 0.532495861649259 0.1 1 5 0.25 0.5 0.25 347 1 -154.830481194567 -13.66187284471 -57.1747956573483 -55.5877572373611 403.701725859656 403.701725859656 403.701725859656
"FRT_censord" 14 0.99654308708276 3.91242978360256 0.0449459795629377 0.00961522518216757 1.55364778700996e-10 0.635677383064882 -0.000757144687362654 2.8421709430404e-14 7.62939453125e-06 0.110706975262466 0.356773156931467 0.532519867806067 0.1 1 5 0.25 0.5 0.25 343 1 -154.831431171052 -13.6665813177866 -57.1626923004556 -55.5945272323705 453.487850812858 453.487850812858 453.487850812858
"FRT_censord" 15 0.996921857252907 3.91148214247878 0.0449057205177964 0.00961344236242513 1.56217168150705e-10 0.635766315886233 -0.000674241005782505 -1.4210854715202e-14 7.62939453125e-06 0.110754134997295 0.35670462268514 0.532541242317565 0.1 1 5 0.25 0.5 0.25 338 1 -154.83227363014 -13.6707625446573 -57.1519275329885 -55.6005549628273 509.413801481638 509.413801481638 509.413801481638
"FRT_censord" 16 0.997259197641665 3.91063863764086 0.0448698936474819 0.00961185632251894 1.56979822291842e-10 0.635845047532278 -0.000600393458491055 1.4210854715202e-14 7.62939453125e-06 0.110796059650507 0.356643666989017 0.532560273360476 0.1 1 5 0.25 0.5 0.25 333 1 -154.833021055131 -13.6744765854244 -57.1423523109349 -55.6059217292761 572.236765935022 572.236765935022 572.236765935022
"FRT_censord" 17 0.997559625196253 3.90988781530021 0.0448380097707406 0.00961044523786314 1.57661809701107e-10 0.635914790685693 -0.000534617222641032 1.4210854715202e-14 7.62939453125e-06 0.11083333604244 0.356589446375367 0.532577217582193 0.1 1 5 0.25 0.5 0.25 328 1 -154.833684413114 -13.6777764374038 -57.133834413227 -55.6106999364966 642.807311728433 642.807311728433 642.807311728433
"FRT_censord" 18 0.997827167412047 3.9092194826881 0.0448096339287295 0.00960918972521684 1.58271362470451e-10 0.635976605049112 -0.000476033650180341 -2.8421709430404e-14 -7.62939453125e-06 0.110866484134495 0.356541212233145 0.53259230363236 0.1 1 5 0.25 0.5 0.25 324 1 -154.834273357948 -13.68070893587 -57.1262564526444 -55.6149540826665 722.080901838547 722.080901838547 722.080901838547
"FRT_censord" 19 0.998065414657668 3.90862457241208 0.0447843794303654 0.00960807256966744 1.58815932971183e-10 0.636031418538609 -0.000423859011981165 2.8421709430404e-14 0 0.110895964483853 0.356498300510548 0.532605735005599 0.1 1 5 0.25 0.5 0.25 319 1 -154.834796385563 -13.6833154470161 -57.1195142746833 -55.6187415796981 811.130830789687 811.130830789687 811.130830789687
"FRT_censord" 20 0.99827756718748 3.90809501271239 0.044761902304821 0.00960707847203141 1.59302259049504e-10 0.636080044923872 -0.000377394396956277 0 0 0.110922185801894 0.356460121113834 0.532617693084272 0.1 1 5 0.25 0.5 0.25 314 1 -154.835260998494 -13.6856326147096 -57.1135153014348 -55.6221135862926 911.16275611549 911.16275611549 911.16275611549
"FRT_censord" 21 0.998466477262681 3.90762361998637 0.044741896599926 0.00960619383511612 1.597364198707e-10 0.636123199051626 -0.000336016652433102 -2.8421709430404e-14 0 0.110945510697464 0.356426149893578 0.532628339408959 0.1 1 5 0.25 0.5 0.25 310 1 -154.835673820709 -13.6876928852043 -57.1081772831932 -55.6251156626905 1023.53102189903 1023.53102189903 1023.53102189903
"FRT_censord" 22 0.998634686498441 3.9072040038395 0.0447240902499562 0.00960540657620403 1.60123889080668e-10 0.636161509844886 -0.000299170267894056 0 2.288818359375e-05 0.110966260668164 0.3563959216488 0.532637817683036 0.1 1 5 0.25 0.5 0.25 305 1 -154.836040695996 -13.6895249590677 -57.1034272077266 -55.6277883493717 1149.75699539774 1149.75699539774 1149.75699539774
"FRT_censord" 23 0.998784459564261 3.90683047315981 0.0447082411208679 0.00960470594879552 1.60469594226163e-10 0.636195531138107 -0.00026636010866099 4.2632564145606e-14 -7.62939453125e-06 0.110984721547834 0.356369022374781 0.532646256077385 0.1 1 5 0.25 0.5 0.25 301 1 -154.836366804714 -13.6911543339616 -57.0992000852046 -55.6301677869797 1291.54966501488 1291.54966501488 1291.54966501488
"FRT_censord" 24 0.998917814168702 3.90649796534294 0.0446941338649964 0.00960408240059348 1.60777960414256e-10 0.6362257513779 -0.000237144913484144 0 7.62939453125e-06 0.111001146874245 0.356345084550004 0.532653768575751 0.1 1 5 0.25 0.5 0.25 297 1 -154.836656722065 -13.6926035785156 -57.0954382151396 -55.6322861272467 1450.82877849594 1450.82877849594 1450.82877849594
"FRT_censord" 25 0.999036547746332 3.90620197454618 0.0446815768883124 0.00960352743717261 1.61052959461504e-10 0.636252601710559 -0.000211131480462257 -5.6843418860808e-14 0 0.11101576185318 0.356323781476475 0.532660456670345 0.1 1 5 0.25 0.5 0.25 292 1 -154.83691449933 -13.6938927137174 -57.0920902993265 -55.6341719977608 1629.75083462065 1629.75083462065 1629.75083462065
"FRT_censord" 26 0.999142261524843 3.90593848746288 0.0446703996288461 0.00960303350006277 1.61298155740956e-10 0.636276462960188 -0.000187969470836435 -1.4210854715202e-14 0 0.111028766893445 0.356304822221634 0.532666410884921 0.1 1 5 0.25 0.5 0.25 288 1 -154.837143735362 -13.6950395518133 -57.089110648775 -55.6358509192745 1830.73828029537 1830.73828029537 1830.73828029537
"FRT_censord" 27 0.999236381683196 3.90570393554957 0.0446604504217935 0.00960259387077508 1.61516739568532e-10 0.636297671966663 -0.000167346765827858 -1.4210854715202e-14 0 0.111040339690608 0.356287948687671 0.532671711621721 0.1 1 5 0.25 0.5 0.25 283 1 -154.837347608248 -13.6960598492783 -57.086458728152 -55.6373455748686 2056.51230834865 2056.51230834865 2056.51230834865
"FRT_censord" 28 0.999320178510231 3.90549513882477 0.0446515942013212 0.00960220256831248 1.61711570846505e-10 0.636316526669132 -0.000148985321089867 1.4210854715202e-14 7.62939453125e-06 0.111050638598626 0.356272930730616 0.532676430670758 0.1 1 5 0.25 0.5 0.25 279 1 -154.837528948935 -13.6969676562761 -57.0840983873343 -55.6386762009409 2310.12970008316 2310.12970008316 2310.12970008316
"FRT_censord" 29 0.999394783356639 3.9053092693969 0.044643710844076 0.00960185427499959 1.61885206078561e-10 0.63633329095388 -0.000132637465299013 -1.4210854715202e-14 0 0.111059804097047 0.356259564100055 0.532680631802899 0.1 1 5 0.25 0.5 0.25 275 1 -154.83769026003 -13.697775411124 -57.0819975418967 -55.6398607853903 2595.02421139974 2595.02421139974 2595.02421139974
