"data_Name" "Iter" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "EM_endIter" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase" "bp1" "bp3"
"V154" "RearDump" 55 0.857977166606244 18.838639541846 2.27239818898532 0.500658918410056 2.3734706981904e-21 0.00386574360026515 -3.6882477679967e-05 2.85251071657918e-15 324480 0.414456329557022 0.548444239832743 0.037099430610235 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 168 1 -233.698801316268 -5.33000308699403 -118.767940374529 -5.06414544441915 1519.91108295293 1519.91108295293 1519.91108295293
"V155" "RearDump" 56 0.857984734148482 18.8385023665257 2.27243640028131 0.5006599093264 2.37430010547288e-21 0.00352255253758216 -3.36061984356206e-05 6.14941578662767e-16 133504 0.414453260915707 0.54844729643089 0.0370994426534036 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 166 1 -233.69840030285 -5.32918208418096 -118.768463350004 -5.06414833526394 1668.10053720006 1668.10053720006 1668.10053720006
"V156" "RearDump" 57 0.857991630222502 18.8383773770624 2.27247121849793 0.500660812058512 2.37505608530646e-21 0.00320981042975887 -3.06209309393068e-05 1.15891227837835e-15 -68864 0.414450465139764 0.548450081235927 0.0370994536243095 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 163 1 -233.698034910198 -5.32843404322936 -118.768939831392 -5.06415096936792 1830.73828029537 1830.73828029537 1830.73828029537
"V157" "RearDump" 58 0.857997914517197 18.8382634907996 2.2725029479386 0.500661634707702 2.37574511861484e-21 0.00292481892423524 -2.79008299592931e-05 1.27937052787328e-15 -74432 0.414447917464258 0.548452618913984 0.0370994636217575 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 160 1 -233.697701943825 -5.32775239324603 -118.76937402459 -5.06415337000119 2009.23300256505 2009.23300256505 2009.23300256505
"V158" "RearDump" 59 0.858003641237844 18.8381597214475 2.27253186226626 0.50066238436963 2.37637311669469e-21 0.00266511825079263 -2.542234501135e-05 2.68814471431831e-15 80000 0.414445595893118 0.548454931374846 0.037099472732036 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 157 1 -233.697398528801 -5.32713124672375 -118.769769679547 -5.06415555781474 2205.13073990305 2205.13073990305 2205.13073990305
"V159" "RearDump" 60 0.858008859797661 18.8380651703216 2.27255821094052 0.500663067511493 2.37694547180121e-21 0.00242846622384008 -2.31640167296376e-05 -1.69486570536905e-15 190656 0.414443480379338 0.548457038586879 0.0370994810337835 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 154 1 -233.697122044787 -5.32656523785516 -118.770130213867 -5.06415755163775 2420.12826479438 2420.12826479438 2420.12826479438
"V160" "RearDump" 61 0.858013615240452 18.837979018561 2.27258222136538 0.500663690028765 2.37746710223274e-21 0.00221281907099069 -2.1106291262285e-05 2.40812091591196e-15 243392 0.414441552650224 0.548458958751095 0.0370994885986814 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 151 1 -233.696870103397 -5.3260494759802 -118.770458742551 -5.06415936863973 2656.08778294669 2656.08778294669 2656.08778294669
"V161" "RearDump" 62 0.858017948625341 18.8379005200399 2.27260410083083 0.500664257295513 2.37794249357497e-21 0.00201631393803225 -1.9231351148008e-05 1.63334834938793e-15 -13952 0.414439796050886 0.548460708457046 0.0370994954920678 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 148 1 -233.696640527738 -5.32557950363422 -118.770758104713 -5.06416102447559 2915.05306282518 2915.05306282518 2915.05306282518
"V162" "RearDump" 63 0.858021897377889 18.8378289949083 2.27262403828469 0.500664774210321 2.37837573642423e-21 0.00183725292588477 -1.752296117985e-05 2.94478278008392e-15 171712 0.414438195401451 0.548462302825053 0.037099501773496 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 145 1 -233.696431333732 -5.32515125828183 -118.771030887941 -5.06416253341848 3199.26713779738 3199.26713779738 3199.26713779738
"V163" "RearDump" 64 0.858025495610524 18.8377638237042 2.27264220594975 0.500665245238195 2.37877056089195e-21 0.00167408852702167 -1.59663279379885e-05 1.22013338458616e-15 -175616 0.414436736866808 0.548463755635946 0.0370995074972457 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 142 1 -233.696240713087 -5.32476103741342 -118.771279450529 -5.06416390848119 3511.19173421513 3511.19173421513 3511.19173421513
