"data_Name" "Iter" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "EM_endIter" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase" "bp1" "bp3"
"V110" "SerumReversal" 11 0.509671860069472 1.0001285809066 0.05700063497523 0.00322905847409814 0.00322655616293511 0.000241942243320636 -24.3093312441565 -1.13686837721616e-13 0 0.331814469381374 0.33409538709754 0.334090143521086 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 14 0.280808080707071 -708.716196843954 -182.23771298721 -181.944077748078 -181.940556187821 319.926713779738 319.926713779738 319.926713779738
"V111" "SerumReversal" 12 0.508551047337576 1.00011534862011 0.0576488082242996 0.0032187679484247 0.00321652383488056 0.000190405980021069 -24.1230386895868 0 0 0.332038688539376 0.333983130055403 0.333978181405221 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 14 0.288888888777778 -708.526576845815 -182.511287871679 -181.712324593518 -181.708904165816 359.381366380463 359.381366380463 359.381366380463
"V112" "SerumReversal" 13 0.507446333996968 1.00010349661177 0.0583020204196609 0.00320837358020707 0.00320636076708925 0.000147593798544676 -23.9338884047739 0 0 0.332287267860871 0.33385869959946 0.333854032539669 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 14 0.296969696848485 -708.332887633085 -182.798973311915 -181.47148393339 -181.468176244589 403.701725859656 403.701725859656 403.701725859656
"V113" "SerumReversal" 14 0.506358382124089 1.00009287953384 0.0589599891281625 0.00319787441503898 0.00319606882542269 0.000112186637579725 -23.7418368591699 0 0 0.332561238529346 0.333721580048718 0.333717181421936 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 14 0.305050504919192 -708.135053874823 -183.10132328037 -181.221248464498 -181.218061997407 453.487850812858 453.487850812858 453.487850812858
"V114" "SerumReversal" 15 0.505287856873381 1.00008336747246 0.0596224106629779 0.00318726946410121 0.00318564954392371 8.30515075165295e-05 -23.5468413815581 0 0 0.332861666522184 0.333571238293661 0.333567095184155 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 15 0.313131312989899 -707.93300005054 -183.418911715816 -180.961301552342 -180.958242161266 509.413801481638 509.413801481638 509.413801481638
"V115" "SerumReversal" 16 0.50423542588481 1.00007484427195 0.0602889593369818 0.00317655770347441 0.00317510415611283 5.92164637964743e-05 -23.3488602164954 -5.6843418860808e-14 0 0.333189652368311 0.333407123922639 0.333403223709049 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 15 0.321212121060606 -707.726650404357 -183.752332512023 -180.691317353222 -180.688388692939 572.236765935022 572.236765935022 572.236765935022
"V116" "SerumReversal" 17 0.503201758932447 1.00006720606795 0.0609592865525232 0.00316573807189058 0.00316443362077008 3.9848833665701e-05 -23.1478524702995 0 0 0.333546333726228 0.333228667938247 0.333224998335525 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 15 0.329292929131313 -707.515928839179 -184.102201031451 -180.410960148409 -180.408164044259 642.807311728433 642.807311728433 642.807311728433
"V117" "SerumReversal" 18 0.502187527288896 1.00006035999845 0.0616330200325966 0.00315480946989069 0.00315363864576031 2.42326051989039e-05 -22.9437781759338 0 0 0.333932885661362 0.333035282623656 0.333031831714982 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 16 0.33737373720202 -707.300758864133 -184.469154380183 -180.119884330883 -180.117221096852 722.080901838547 722.080901838547 722.080901838547
"V118" "SerumReversal" 19 0.501193402864252 1.00005422300801 0.0623097631305422 0.00314377075908722 0.00314271971022596 1.17707193680872e-05 -22.7365983736656 -5.6843418860808e-14 0 0.334350520848853 0.332826361444408 0.332823117706739 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 16 0.345454545272727 -707.081063542139 -184.853851644544 -179.817734416575 -179.815203129734 811.130830789687 811.130830789687 811.130830789687
"V119" "SerumReversal" 20 0.500220057935524 1.00004872083054 0.0629890938726836 0.00313262076035632 0.00313167708229999 1.9321073239098e-06 -22.5262751087343 5.6843418860808e-14 0 0.334800492065438 0.33260127780675 0.332598230127812 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 16 0.353535353343434 -706.856765390715 -185.256975364041 -179.50414442344 -179.501743158019 911.16275611549 911.16275611549 911.16275611549
"V120" "SerumReversal" 21 0.499268164025354 1.00004378702824 0.0636705643548896 0.00312135825329171 0.00312051083703906 -5.72033107459902e-06 -22.3127715404766 5.6843418860808e-14 0 0.335284092370229 0.332359384969252 0.332356522660519 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 16 0.361616161414141 -706.627786326581 -185.679231760142 -179.178737901733 -179.176463930582 1023.53102189903 1023.53102189903 1023.53102189903
"V121" "SerumReversal" 22 0.498338391332394 1.00003936219021 0.0643536999153524 0.00310998197513451 0.00310922087077483 -1.15642594664678e-05 -22.0960520027865 -5.6843418860808e-14 0 0.335802656816387 0.332100015190469 0.332097327993143 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 17 0.369696969484848 -706.394047579402 -186.121351790513 -178.841127547905 -178.83897751279 1149.75699539774 1149.75699539774 1149.75699539774
"V122" "SerumReversal" 23 0.497431407612815 1.00003539316057 0.0650379985726574 0.00309849062101122 0.00309780691622888 -1.59105623254163e-05 -21.8760821599555 0 0 0.336357562265564 0.33182247982291 0.331819957911526 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 17 0.377777777555556 -706.155469642405 -186.584091177945 -178.490915357718 -178.488885415355 1291.54966501488 1291.54966501488 1291.54966501488
"V123" "SerumReversal" 24 0.496547877671933 1.0000318323611 0.0657229301535467 0.00308688284232749 0.00308626855397336 -1.90362195269245e-05 -21.6528290352167 5.6843418860808e-14 0 0.336950230468895 0.331526067773867 0.331523701757238 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 17 0.385858585626263 -705.911972147126 -187.068232204172 -178.12769187372 -178.125777820271 1450.82877849594 1450.82877849594 1450.82877849594
"V124" "SerumReversal" 25 0.495688462158363 1.00002863732119 0.0664079357766086 0.0030751572470775 0.00307460522182266 -2.11657309705515e-05 -21.4262611666302 -5.6843418860808e-14 0 0.337582128548692 0.331210045270631 0.331207826180677 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 18 0.39393939369697 -705.663473790456 -187.574584098804 -177.751036177008 -177.749233545858 1629.75083462065 1629.75083462065 1629.75083462065
"V125" "SerumReversal" 26 0.494853816542699 1.00002576989423 0.0670924273120793 0.00306331240054312 0.00306281623067315 -2.24902870797905e-05 -21.1963487874757 5.6843418860808e-14 0 0.338254769280877 0.330873655711069 0.330871575008055 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 18 0.402020201767677 -705.409892260708 -188.103983311809 -177.360515938462 -177.358820096523 1830.73828029537 1830.73828029537 1830.73828029537
"V126" "SerumReversal" 27 0.494044590286781 1.00002319606131 0.0677757866957535 0.0030513468244359 0.00305090076746164 -2.31703149324858e-05 -20.9630638926412 -5.6843418860808e-14 1.81898940354586e-12 0.338969714336398 0.330516118054446 0.330514167609156 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 18 0.410101009838384 -705.15114409065 -188.65729538969 -176.95568666727 -176.954092879853 2056.51230834865 2056.51230834865 2056.51230834865
"V127" "SerumReversal" 28 0.493261425691934 1.00002088525828 0.0684573654861499 0.00303925899781552 0.00303885790909406 -2.33399832154646e-05 -20.7263804296602 0 0 0.339728575013398 0.33013662644626 0.330134798540342 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 19 0.418181817909091 -704.887144556041 -189.235415483266 -176.536091663824 -176.534595163148 2310.12970008316 2310.12970008316 2310.12970008316
