"filename" "beta1" "beta3" "lambda1" "lambda3" "diffBeta1" "diffBeta3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "tempering" "Qlike" "Q1" "Q2" "Q3"
"RearDump" 0.858062402400673 18.8373717126785 2.27282831801331 2.38114738174413e-21 6.32178903003933e-07 -6.61844578431214e-06 0.414421833893047 0.54847860803011 0.037099558076843 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 1 -233.694287161943 -5.32076617773213 -118.773827203988 -5.06417459100087
"RearDump" 0.858062399951324 18.837382649663 2.27282829312946 2.38108104885913e-21 7.31493166483688e-07 -6.88039002127994e-06 0.414421837684522 0.548478604567429 0.0370995577480483 0.5 1 25 0.333333333333333 0.333333333333333 0.333333333333333 1 -233.694287379856 -5.32076681885516 -118.77382689481 -5.06417445431397
"RearDump" 0.861014648594514 -25.7624978265623 2.46114891611724 4.37088327829559e+27 6.48706347305961e-07 -1.04488037955264e-06 0.377856645702617 0.581820634094468 0.0403227202029144 0.5 1 50 0.333333333333333 0.333333333333333 0.333333333333333 1 NA -0.479455847492545 -120.894417487514 NA
"RearDump" 0.858062392805871 18.8375824137902 2.27282802224982 2.3798698028371e-21 8.22358408925083e-07 -1.16648006631692e-05 0.414421892873255 0.548478555352124 0.037099551774621 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 1 -233.694289426222 -5.32077463508852 -118.773823695863 -5.06417196304496
"RearDump" 0.858062404629186 18.8371402396836 2.27282860162744 2.38255170060187e-21 8.01986420384537e-07 -1.07449721653552e-06 0.414421772339145 0.548478662669096 0.0370995649917594 0.5 1 5 0.333333333333333 0.333333333333333 0.333333333333333 1 -233.694285110369 -5.3207577683072 -118.773830498828 -5.06417747810355
"RearDump" 0.858062452004939 18.8365826812608 2.27282951459422 2.38593774021056e-21 -6.32282038282028e-07 1.22797510933026e-05 0.414421603815753 0.548478814469375 0.0370995817148714 0.8 1 5 0.333333333333333 0.333333333333333 0.333333333333333 1 -233.694277780331 -5.32073243897413 -118.773841807914 -5.06418444820935
"RearDump" 0.858062404502822 18.8372029345869 2.27282852734032 2.38217125641902e-21 7.34774410204864e-07 -2.57609658405045e-06 0.414421788795711 0.548478648084716 0.0370995631195734 0.5 1 2 0.25 0.5 0.25 1 -233.694285639441 -5.32075999073904 -118.773829642596 -5.06417669609578
"RearDump" 0.858062393767261 18.8375640330949 2.27282804858772 2.37998122626142e-21 7.99828413278192e-07 -1.12245806569433e-05 0.414421887694575 0.548478559980995 0.0370995523244305 0.5 1 25 0.25 0.5 0.25 1 -233.694289222913 -5.32077388649647 -118.773824008156 -5.06417219225447
"RearDump" 0.861014606413439 -25.7607875815256 2.46114542944888 4.35255949645202e+27 8.49141997605329e-07 -2.14035410017743e-05 0.377857277147058 0.581820046895377 0.0403226759575656 0.5 1 50 0.25 0.5 0.25 1 NA -0.479534609114765 -120.894381028791 NA
"RearDump" 0.858062455590368 18.8365273302023 2.27282959739609 2.38627414830224e-21 -7.31307473245124e-07 1.36055165054216e-05 0.414421587942291 0.548478828686995 0.0370995833707136 0.2 1 5 0.25 0.5 0.25 1 -233.694277133134 -5.32073010978525 -118.77384279671 -5.06418513995846
