"filename" "beta1" "beta3" "lambda1" "lambda3" "diffBeta1" "diffBeta3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "tempering" "Qlike" "Q1" "Q2" "Q3"
"FRT_censord" 0.913840743899966 3.98991383386028 0.0196380777185134 1.00013680491696e-10 9.9298347322474e-10 3.72679664906173e-11 0.432743078314852 0.0232419334079565 0.544014988277192 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 1 -150.98266883508 -67.1933110479145 -3.70713850163228 -56.6496256645193
"FRT_censord" 0.9138398147769 3.98991594513762 0.0196382581218585 1.00012450418876e-10 9.94866411474504e-10 3.83124643121846e-11 0.432733827929133 0.0232513242417316 0.544014847829135 0.5 1 25 0.333333333333333 0.333333333333333 0.333333333333333 1 -150.983485490638 -67.1918315621886 -3.70863624020942 -56.649599346566
"FRT_censord" 9.7456889986661 3.81082135975691 9.40492393890173e-15 2.81203254144866e-10 -2.01439849689677e-06 1.54631152327056e-09 0.0959935146445603 0.358672242551121 0.545334242804319 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 1 -149.658022525421 -7.38451306680641 -57.0309199406293 -57.5409340220249
"FRT_censord" 0.913838875275507 3.98991807998472 0.0196384405446123 1.0001120662929e-10 1.0009841844294e-09 4.20925516664283e-11 0.43272447434264 0.0232608198427096 0.54401470581465 0.5 1 5 0.333333333333333 0.333333333333333 0.333333333333333 1 -150.984311135018 -67.1903355706318 -3.7101506879468 -56.6495727349838
"FRT_censord" 0.913836828805601 3.98992273012179 0.019638837921637 1.00008497453301e-10 1.00683905657206e-09 3.37365690938896e-11 0.432704100366762 0.0232815031507666 0.544014396482472 0.8 1 5 0.333333333333333 0.333333333333333 0.333333333333333 1 -150.986109128303 -67.187077002289 -3.71344945606605 -56.6495147701677
"FRT_censord" 9.74528679823375 3.8087385172729 9.41772496339793e-15 2.84636938854452e-10 8.93068902918515e-06 1.73313452478396e-09 0.0959979739697421 0.358496668502903 0.545505357527355 0.5 1 2 0.25 0.5 0.25 1 -149.655746511575 -7.38489683319602 -57.0002825183417 -57.5708882831983
"FRT_censord" 9.7452995939325 3.81010111621601 9.4174019075895e-15 2.82382511343526e-10 5.52774126028055e-06 7.08695324647124e-10 0.0959986126368517 0.358625786561545 0.545375600801604 0.5 1 25 0.25 0.5 0.25 1 -149.658196186726 -7.38495744134223 -57.0228047651434 -57.5490968888939
"FRT_censord" 9.74582613096706 3.81080099029461 9.40056269927712e-15 2.81236646286618e-10 -6.25330160985982e-06 1.513257075203e-09 0.095993367168359 0.358670634012432 0.545335998819209 0.2 1 5 0.25 0.5 0.25 1 -149.657988823274 -7.38449069754709 -57.0306336623342 -57.5412368719805
"FRT_censord" 9.74520499249565 3.81033013050758 9.42040679696634e-15 2.82005696366766e-10 8.75105769360118e-06 4.10537381867471e-10 0.0959984114057875 0.35864603550182 0.545355553092392 0.5 1 5 0.25 0.5 0.25 1 -149.658520486305 -7.38494854148581 -57.0263390894337 -57.545651631454
"FRT_censord" 0.913843037448435 3.98990862202198 0.019637632408882 1.00016717078873e-10 9.8984287433268e-10 3.70903308066772e-11 0.43276591354872 0.0232187514640573 0.544015334987223 0.8 1 5 0.25 0.5 0.25 1 -150.980652348459 -67.1969632628417 -3.70344122655954 -56.6496906327534
"FRT_censord" 9.74579692556278 3.81081218296372 9.40149135963195e-15 2.81218301811108e-10 -5.34576963495681e-06 1.54327040036151e-09 0.0959933856924696 0.35867155299813 0.545335061309401 0.5 1 2 0.0833333333333333 0.833333333333333 0.0833333333333333 1 -149.658003582644 -7.38449444348745 -57.0307952657893 -57.5410737650708
"FRT_censord" 9.74576483466864 3.8108108598343 9.4025118544097e-15 2.81220467503161e-10 -4.35745271154531e-06 1.51553791738479e-09 0.095993431118414 0.358671414754775 0.545335154126811 0.5 1 25 0.0833333333333333 0.833333333333333 0.0833333333333333 1 -149.65800456854 -7.38450053884295 -57.0307724096035 -57.5410908821786
"FRT_censord" 9.74577180534493 3.81082652698324 9.40229019392035e-15 2.81194795525174e-10 -4.56165748197179e-06 1.57514534748771e-09 0.0959933925468857 0.358672739066844 0.545333868386271 0.2 1 5 0.0833333333333333 0.833333333333333 0.0833333333333333 1 -149.658021428878 -7.38449694751244 -57.03100333793 -57.5408657693826
"FRT_censord" 9.74585478837724 3.81082568591285 9.39965158846878e-15 2.81196181082174e-10 -7.11925166818617e-06 1.57403690081992e-09 0.0959932821816055 0.358672733765256 0.545333984053139 0.5 1 5 0.0833333333333333 0.833333333333333 0.0833333333333333 1 -149.658013884961 -7.38448174398794 -57.0309991114736 -57.5408834736163
"FRT_censord" 9.74577212667891 3.81084394017096 9.40227999282922e-15 2.81166264783287e-10 -4.55959947487372e-06 1.64811808645027e-09 0.0959933595249989 0.358674204299902 0.545332436175099 0.8 1 5 0.0833333333333333 0.833333333333333 0.0833333333333333 1 -149.658040707848 -7.38449431375493 -57.0312591347292 -57.5406151889015
"FRT_censord" 0.913840743899966 3.98991383386028 0.0196380777185134 1.00013680491696e-10 9.9298347322474e-10 3.72679664906173e-11 0.432743078314852 0.0232419334079565 0.544014988277192 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 1 -150.98266883508 -67.1933110479145 -3.70713850163228 -56.6496256645193
"FRT_censord" 0.9138398147769 3.98991594513762 0.0196382581218585 1.00012450418876e-10 9.94866411474504e-10 3.83124643121846e-11 0.432733827929133 0.0232513242417316 0.544014847829135 0.5 1 25 0.333333333333333 0.333333333333333 0.333333333333333 1 -150.983485490638 -67.1918315621886 -3.70863624020942 -56.649599346566
"FRT_censord" 9.7456889986661 3.81082135975691 9.40492393890173e-15 2.81203254144866e-10 -2.01439849689677e-06 1.54631152327056e-09 0.0959935146445603 0.358672242551121 0.545334242804319 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 1 -149.658022525421 -7.38451306680641 -57.0309199406293 -57.5409340220249
"FRT_censord" 0.913838875275507 3.98991807998472 0.0196384405446123 1.0001120662929e-10 1.0009841844294e-09 4.20925516664283e-11 0.43272447434264 0.0232608198427096 0.54401470581465 0.5 1 5 0.333333333333333 0.333333333333333 0.333333333333333 1 -150.984311135018 -67.1903355706318 -3.7101506879468 -56.6495727349838
"FRT_censord" 0.913836828805601 3.98992273012179 0.019638837921637 1.00008497453301e-10 1.00683905657206e-09 3.37365690938896e-11 0.432704100366762 0.0232815031507666 0.544014396482472 0.8 1 5 0.333333333333333 0.333333333333333 0.333333333333333 1 -150.986109128303 -67.187077002289 -3.71344945606605 -56.6495147701677
"FRT_censord" 9.74528679823375 3.8087385172729 9.41772496339793e-15 2.84636938854452e-10 8.93068902918515e-06 1.73313452478396e-09 0.0959979739697421 0.358496668502903 0.545505357527355 0.5 1 2 0.25 0.5 0.25 1 -149.655746511575 -7.38489683319602 -57.0002825183417 -57.5708882831983
"FRT_censord" 9.7452995939325 3.81010111621601 9.4174019075895e-15 2.82382511343526e-10 5.52774126028055e-06 7.08695324647124e-10 0.0959986126368517 0.358625786561545 0.545375600801604 0.5 1 25 0.25 0.5 0.25 1 -149.658196186726 -7.38495744134223 -57.0228047651434 -57.5490968888939
