"data_Name" "Iter" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "EM_endIter" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase" "bp1" "bp3"
"V113" "SerumReversal" 14 0.56501104957074 41.3067135893084 0.0430967101931397 0.00204953716308537 1.11967332935323e-106 0.00116658481891818 -5.47087704170224e-05 1.66255897937617e-13 2.17827577547487e+89 0.893469269629239 5.91572966242717e-22 0.106530730370761 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 30 1 -564.648653607027 -496.415807999996 -2.66452599652525e-19 -18.0312534987577 453.487850812858 453.487850812858 453.487850812858
"V114" "SerumReversal" 15 0.565011770467314 41.303408519652 0.0430967961251602 0.00204955221939108 1.14167741647591e-106 0.00103852330744303 -4.87065665630837e-05 -1.79911641140507e-13 -1.96243749087302e+90 0.893465845264243 7.44430127316633e-23 0.106534154735757 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 30 1 -564.649135238618 -496.414445857712 -3.353022308583e-20 -18.0320194683097 509.413801481638 509.413801481638 509.413801481638
"V115" "SerumReversal" 16 0.565012412201534 41.3004664071625 0.0430968726111526 0.00204956562174924 1.16162858993249e-106 0.000924518545673436 -4.33624857407722e-05 -1.27620136680662e-13 -2.06190213815498e+90 0.893462797078106 9.36764647208757e-24 0.106537202921894 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 30 1 -564.649563983765 -496.413233351934 -4.21933258598045e-21 -18.0327013309469 572.236765935022 572.236765935022 572.236765935022
"V116" "SerumReversal" 17 0.565012983468131 41.2978473816312 0.0430969406906434 0.00204957755194463 1.17968196601832e-106 0.000823027828062095 -3.86044477522773e-05 -2.24487095579207e-13 -5.1274025673849e+90 0.893460083723129 1.17876971606254e-24 0.106539916276871 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 30 1 -564.649945650814 -496.412154035308 -5.30936910331198e-22 -18.0333083234861 642.807311728433 642.807311728433 642.807311728433
"V117" "SerumReversal" 18 0.56501349200618 41.2955159553885 0.0430970012883928 0.00204958817175005 1.19598878660874e-106 0.000732677707617313 -3.43682501231513e-05 2.95652391457679e-13 2.11262910826877e+90 0.893457668403731 1.59316910299905e-25 0.106542331596269 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 29 1 -564.650285409657 -496.411193271229 -7.17590086178322e-23 -18.033848667499 722.080901838547 722.080901838547 722.080901838547
"V118" "SerumReversal" 19 0.565013944705378 41.2934405387753 0.0430970552275905 0.00204959762517966 1.21069452803382e-106 0.000652245437208876 -3.05967106086769e-05 -1.00031094518727e-13 -1.62226839716872e+90 0.893455518364268 2.15322101528154e-26 0.106544481635732 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 29 1 -564.650587863205 -496.410338030156 -9.69848066536976e-24 -18.0343296829935 811.130830789687 811.130830789687 811.130830789687
"V119" "SerumReversal" 20 0.565014347697628 41.2915930149934 0.0430971032403613 0.00204960604037456 1.22393755033398e-106 0.000580642441718737 -2.72389022981656e-05 -2.89379631368547e-13 -2.2459117356266e+90 0.893453604459288 2.91011298469952e-27 0.106546395540712 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 29 1 -564.650857107787 -496.409576718574 -1.31076677870721e-24 -18.0347578843751 911.16275611549 911.16275611549 911.16275611549
"V120" "SerumReversal" 21 0.565014706441542 41.2899483558224 0.0430971459783181 0.00204961353139844 1.23584826321692e-106 0.000516899602246212 -2.42494715720909e-05 -2.2859492077032e-13 -1.17766142381837e+90 0.893451900745544 3.93302041883194e-28 0.106548099254456 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 29 1 -564.651096790108 -496.408899016769 -1.77150427117926e-25 -18.0351390710616 1023.53102189903 1023.53102189903 1023.53102189903
"V121" "SerumReversal" 22 0.565015025795835 41.2884842832415 0.0430971840212106 0.00204962019976378 1.24654863880386e-106 0.000460154152847281 -2.15880298846116e-05 -1.1207701433591e-13 5.35915519555186e+90 0.893450384134542 5.70927004257792e-29 0.106549615865458 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 28 1 -564.651310156019 -496.408295740579 -2.57156181645584e-26 -18.0354784050055 1149.75699539774 1149.75699539774 1149.75699539774
"V122" "SerumReversal" 23 0.565015310086461 41.2871809647061 0.0430972178853448 0.00204962613586075 1.25615204240193e-106 0.000409638012513369 -1.92186115768322e-05 1.11521902823597e-13 -3.32410851216301e+90 0.893449034068003 8.28764684484891e-30 0.106550965931997 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 28 1 -564.651500095847 -496.407758712359 -3.7329137784178e-27 -18.0357804828156 1291.54966501488 1291.54966501488 1291.54966501488
"V123" "SerumReversal" 24 0.565015563163346 41.2860207479705 0.0430972480298502 0.00204963142010984 1.26476323826086e-106 0.00036466739777552 -1.71091906686627e-05 1.12687636999453e-13 3.46136972541212e+89 0.893447832254873 1.2030358379743e-30 0.106552167745127 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 28 1 -564.651669181528 -496.407280656278 -5.41870600835631e-28 -18.0360493947375 1450.82877849594 1450.82877849594 1450.82877849594
"V124" "SerumReversal" 25 0.565015788453893 41.2849879190597 0.0430972748634724 0.00204963612410612 1.2724786063232e-106 0.000324633573427491 -1.52312501242591e-05 -2.45747866500778e-13 -3.70008487888881e+90 0.893446762411585 1.74631641120472e-31 0.106553237588415 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 28 1 -564.651819702869 -496.406855095065 -7.86575161207154e-29 -18.0362887823656 1629.75083462065 1629.75083462065 1629.75083462065
"V125" "SerumReversal" 26 0.565015989008802 41.2840684905052 0.0430972987498796 0.00204964031156603 1.27938644723855e-106 0.000288994617676508 -1.35593980985504e-05 3.36786154520041e-13 1.8699353689008e+89 0.893445810046423 2.72274860386292e-32 0.106554189953577 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 27 1 -564.6519536979 -496.406476264195 -1.22638004618682e-29 -18.0365018868781 1830.73828029537 1830.73828029537 1830.73828029537
"V126" "SerumReversal" 27 0.565016167544657 41.2832500092287 0.0430973200131181 0.00204964403924131 1.28556739574039e-106 0.000257268090308571 -1.20710259956525e-05 2.33590924381133e-13 3.99450023484341e+90 0.893444962252145 4.24511928583201e-33 0.106555037747854 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 27 1 -564.652072981816 -496.406139029458 -1.91208697337301e-30 -18.0366915951108 2056.51230834865 2056.51230834865 2056.51230834865
"V127" "SerumReversal" 28 0.565016326478817 41.2825213915768 0.0430973389412417 0.00204964735761338 1.29109483712563e-106 0.000229024505188136 -1.07460037988005e-05 2.52020626589911e-13 -1.56955213410929e+90 0.893444207547263 6.6186626435678e-34 0.106555792452737 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 27 1 -564.652179169521 -496.40583882374 -2.98117986584619e-31 -18.0368604753365 2310.12970008316 2310.12970008316 2310.12970008316
"V128" "SerumReversal" 29 0.565016467963491 41.2818727704854 0.0430973557907631 0.00204965031163018 1.29603540004754e-106 0.000203881519553306 -9.56640873184256e-06 9.27591337074318e-14 -2.39113012065825e+90 0.893443535708978 1.03192659675806e-34 0.106556464291022 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 27 1 -564.652273698913 -496.405571580621 -4.64800844777935e-32 -18.0370108143449 2595.02421139974 2595.02421139974 2595.02421139974
"V129" "SerumReversal" 30 0.565016593914258 41.2812953630289 0.0430973707898796 0.00204965294129049 1.30044943062658e-106 0.000181498759332044 -8.5162834402297e-06 6.38378239159465e-15 2.63183456708059e+90 0.893442937640008 1.72810032565414e-35 0.106557062359992 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 26 1 -564.652357849683 -496.405333681377 -7.78371999945597e-33 -18.0371446473076 2915.05306282518 2915.05306282518 2915.05306282518
"V130" "SerumReversal" 31 0.565016706037259 41.2807813489463 0.0430973841420774 0.00204965528223547 1.30439149262568e-106 0.000161573212892563 -7.58142073209456e-06 1.08024700296028e-13 2.72035810316153e+90 0.893442405234554 2.89392811142922e-36 0.106557594765446 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 26 1 -564.652432761974 -496.405121901717 -1.30348526159385e-33 -18.0372637875041 3274.54916287773 3274.54916287773 3274.54916287773
"V131" "SerumReversal" 32 0.565016805850393 41.2803237685088 0.0430973960281169 0.00204965736615609 1.30791080776737e-106 0.000143835131041214 -6.74917177079237e-06 -1.61648472385423e-13 8.43460208950998e+89 0.893441931284852 4.8462444291498e-37 0.106558068715148 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 26 1 -564.652499449774 -496.404933374528 -2.18284963376228e-34 -18.0373698475486 3678.37977182863 3678.37977182863 3678.37977182863
"V132" "SerumReversal" 33 0.56501689470519 41.2799164256014 0.0430974066090199 0.00204965922127469 1.31105172691963e-106 0.000128044375685477 -6.00827529240178e-06 -7.33857419277228e-14 3.37284618933117e+90 0.893441509372168 8.11562205411031e-38 0.106558490627832 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 26 1 -564.652558816062 -496.404765546571 -3.65544644067362e-35 -18.0374642635177 4132.01240011534 4132.01240011534 4132.01240011534
"V133" "SerumReversal" 34 0.565016973804484 41.2795538050661 0.0430974160279959 0.00204966087270231 1.3138541484979e-106 0.000113987169584107 -5.34870545720878e-06 1.08413278354647e-13 -2.38118365593006e+90 0.893441133785278 1.45975751716982e-38 0.106558866214723 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 25 1 -564.652611664347 -496.404616146027 -6.57505554514401e-36 -18.0375483132904 4641.58883361278 4641.58883361278 4641.58883361278
"V134" "SerumReversal" 35 0.565017044219945 41.2792309955132 0.0430974244128892 0.00204966234282811 1.31635394035601e-106 0.000101473202619218 -4.7615364380249e-06 -1.16240350678254e-13 -3.98853235600649e+90 0.893440799432392 2.6256619384758e-39 0.106559200567608 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 25 1 -564.652658710885 -496.404483147516 -1.18265370939449e-36 -18.0376231360131 5214.00828799969 5214.00828799969 5214.00828799969
"V135" "SerumReversal" 36 0.565017106904671 41.2789436266273 0.043097431877134 0.00204966365154683 1.31858328593013e-106 9.03330570167782e-05 -4.23882181266322e-06 1.43718370537727e-13 -1.04338414998773e+90 0.893440501788644 4.72276317745688e-40 0.106559498211356 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 25 1 -564.652700592324 -496.404364751126 -2.12723285872199e-37 -18.0376897441892 5857.02081805666 5857.02081805666 5857.02081805666
"V136" "SerumReversal" 37 0.565017162707418 41.2786878073392 0.0430974385218272 0.0020496648165805 1.32057105286499e-106 8.04159128051651e-05 -3.77348708724412e-06 7.88813458996174e-14 1.56955213410929e+90 0.893440236823459 8.49479454868226e-41 0.106559763176541 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 25 1 -564.652737875735 -496.40425935358 -3.8262365019919e-38 -18.0377490396813 6579.33224657568 6579.33224657568 6579.33224657568
"V137" "SerumReversal" 38 0.56501721238345 41.2784600744055 0.0430974444368392 0.00204966585369318 1.32234310416065e-106 7.1587506454307e-05 -3.35923412464467e-06 -4.94604357470507e-14 -1.30298687939364e+89 0.893440000951451 1.64116595967109e-41 0.106559999048549 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 24 1 -564.652771065605 -496.404165528672 -7.39216224823378e-39 -18.0378018248098 7390.72203352578 7390.72203352578 7390.72203352578
"V138" "SerumReversal" 39 0.565017256606017 41.2782573430315 0.0430974497025382 0.00204966677695379 1.32392261210393e-106 6.37283142168599e-05 -2.99045593976643e-06 -2.88158386041459e-13 -7.95717178255659e+89 0.89343979097315 3.17067427833441e-42 0.10656020902685 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 24 1 -564.652800612002 -496.404082003748 -1.42813963503156e-39 -18.0378488153828 8302.17568131974 8302.17568131974 8302.17568131974
"V139" "SerumReversal" 40 0.565017295973543 41.2780768689151 0.0430974543900981 0.00204966759885059 1.32533029796203e-106 5.67319332844818e-05 -2.66216092370541e-06 -1.51600954012565e-13 -3.46534831130339e+90 0.893439604048176 6.12562379017413e-43 0.106560395951824 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 24 1 -564.652826914612 -496.404007648951 -2.75911251089784e-40 -18.0378906470454 9326.0334688322 9326.0334688322 9326.0334688322
"V140" "SerumReversal" 41 0.565017331019052 41.2779162084621 0.0430974585629989 0.00204966833051257 1.3265846978062e-106 5.05036421145633e-05 -2.36990526758518e-06 -1.61703983536654e-13 -1.43527486027864e+90 0.893439437645446 1.1834464803203e-43 0.106560562354554 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 24 1 -564.65285032956 -496.403941457469 -5.3304976207646e-41 -18.0379278861777 10476.1575278967 10476.1575278967 10476.1575278967
"V141" "SerumReversal" 42 0.565017362216745 41.2777731869651 0.0430974622776272 0.00204966898183479 1.3277023755705e-106 4.49591177016373e-05 -2.10973290748484e-06 -3.84137166520304e-14 -1.61132728596771e+89 0.893439289514377 2.45578385187232e-44 0.106560710485623 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 23 1 -564.652871173552 -496.403882534053 -1.10613798918193e-41 -18.0379610364541 11768.11952435 11768.11952435 11768.11952435
"V142" "SerumReversal" 43 0.565017389989671 41.2776458666727 0.0430974655845459 0.00204966956166178 1.32869814454417e-106 4.00232935930944e-05 -1.87812199925474e-06 3.65818486613989e-14 -1.93956062199817e+89 0.893439157643704 5.09602278839092e-45 0.106560842356296 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 23 1 -564.652889729493 -496.403830078695 -2.29535869998549e-42 -18.0379905478294 13219.4114846603 13219.4114846603 13219.4114846603
"V143" "SerumReversal" 44 0.56501741471352 41.2775325243917 0.0430974685283971 0.00204967007783105 1.3295852201323e-106 3.56293448930955e-05 -1.67193724109893e-06 1.30118138486068e-13 3.42158386649933e+89 0.893439040250789 1.05748038632408e-45 0.106560959749211 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 23 1 -564.652906248256 -496.403783382281 -4.76312032014812e-43 -18.0380168192791 14849.6826225447 14849.6826225447 14849.6826225447
