"filename" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase" "bp1" "bp3"
"Aarest_data" 0.695315019190628 78.5843675649952 0.11103344213825 0.025797748876376 2.74421280976808e-152 0.000281353970663645 -1.96673499885947e-06 -2.42028619368284e-14 6.9844658662781e+135 0.377074376641295 0.386776366414163 0.236149256944542 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.7 -243.905557317398 -80.1273879613099 -90.0699283319076 -19.9082494971533 0.1 13107.2 13107.2
"Aarest_data" 0.694351407671712 78.5855391967081 0.111656157944648 0.0257871770473925 2.72999797531667e-152 0.000283038677537206 -1.99181518922842e-06 -2.77555756156289e-15 -2.3985677901755e+136 0.376625327684376 0.386878751994362 0.236495920321263 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.703029292929293 -243.81394829435 -79.9681494713328 -90.1016999142559 -19.9361526523378 101.109090909091 12941.9636363636 12941.9636363636
"Aarest_data" 0.693385465914126 78.5861677018052 0.112284344249275 0.0257764265550431 2.72242793820927e-152 0.000281274909823992 -1.99278449741769e-06 -1.94289029309402e-14 1.27196776751731e+135 0.376168460209725 0.386992466297998 0.236839073492276 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.706058585858586 -243.722812995901 -79.806952759095 -90.1362516850058 -19.9638583542875 202.118181818182 12935.5636363636 12935.5636363636
"Aarest_data" 0.69241941806619 78.5859144385674 0.112917074678867 0.025765520335215 2.72554931593083e-152 0.000186284083383725 -1.32874649239056e-06 3.44169137633799e-15 6.96629489817071e+136 0.375703825855053 0.387117318155778 0.237178855989169 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.709087878787879 -243.632158626994 -79.6438304439861 -90.173522884063 -19.9913996100263 303.127272727273 19400.1454545455 19400.1454545455
"Aarest_data" 0.691445483504809 78.5859024266446 0.113558040593598 0.0257544000467035 2.72575123712421e-152 0.000277547523580779 -1.99328442818114e-06 -1.2490009027033e-14 5.17759022509949e+136 0.37522984714312 0.387255226638236 0.237514926218644 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.712117171717172 -243.541908112018 -79.4783309966799 -90.2140054102393 -20.0186710654697 404.136363636364 12932.3636363636 12932.3636363636
"Aarest_data" 0.690472486762767 78.5848212687678 0.114203279353931 0.025743142621156 2.73894844144003e-152 0.000220536348209066 -1.59472867267141e-06 4.10782519111308e-15 -8.6380239640506e+136 0.374747622925184 0.387404632654596 0.23784774442022 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.715146464646465 -243.452123233066 -79.310799578578 -90.2572793733209 -20.0457978618422 505.145454545455 16164.6545454545 16164.6545454545
"Aarest_data" 0.689495663012554 78.5833499756988 0.114855110332585 0.0257317146236233 2.75699182505367e-152 0.000182526830343477 -1.32900962057647e-06 -1.82354131794682e-14 -4.83802025859263e+135 0.374256029640376 0.38756685538483 0.238177114974794 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.718175757575758 -243.362751254287 -79.1409214821324 -90.3036783399551 -20.0727167082544 606.154545454545 19396.9454545455 19396.9454545455
"Aarest_data" 0.688510786763803 78.5820992615132 0.115515656190142 0.0257200875236727 2.7724358636485e-152 0.000310743844039507 -2.27839262834095e-06 -3.50275364269237e-14 -1.07038359007595e+137 0.373753958709125 0.387743180087736 0.238502861203139 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.72120505050505 -243.27374284678 -78.9683906330638 -90.3535245060619 -20.0993704270812 707.163636363636 11314.6181818182 11314.6181818182
"Aarest_data" 0.687526649162664 78.5797343599956 0.116180912451235 0.0257083379106047 2.80181825339712e-152 0.00027002022227407 -1.99368955833279e-06 -4.23827639650654e-14 -5.55463781332783e+136 0.373242563406407 0.38793197855912 0.238825458034472 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.724234343434343 -243.185159169836 -78.7935644369869 -90.4063820107251 -20.1258872293152 808.172727272727 12930.7636363636 12930.7636363636
"Aarest_data" 0.686538165424152 78.5769853147084 0.116853408031507 0.0256964305785332 2.83635628820894e-152 0.000238345859372657 -1.77225565778372e-06 7.43849426498855e-15 -4.71536622386775e+136 0.372720572816025 0.388134737098252 0.239144690085723 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.727263636363636 -243.096942717786 -78.6160896273784 -90.4626249805439 -20.1521987429514 909.181818181818 14546.9090909091 14546.9090909091
"Aarest_data" 0.685545119953369 78.5738557558202 0.117533395829677 0.0256843698535051 2.87618590979267e-152 0.000213005936075206 -1.59511197495021e-06 -4.96824803519758e-15 6.82546989533843e+136 0.372187538596437 0.38835187692213 0.239460584481434 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.730292929292929 -243.009076779021 -78.4358554326745 -90.5223496605928 -20.1783057442105 1010.19090909091 16163.0545454545 16163.0545454545
"Aarest_data" 0.684547255203352 78.5703528278671 0.11822115794255 0.0256721599314614 2.9214244564425e-152 0.000192272698768647 -1.45018034203304e-06 -3.05311331771918e-15 2.06694762221563e+135 0.371642986774511 0.388583846023577 0.239773167201912 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.733322222222222 -242.921543649232 -78.2527444127516 -90.5856586918772 -20.2042086970979 1111.2 17779.2 17779.2
"Aarest_data" 0.68354428332712 78.5664856015738 0.118917000916553 0.0256598049802457 2.9721886445894e-152 0.000174994231770143 -1.32940822794581e-06 5.38458166943201e-15 1.49910486885969e+135 0.371086420096556 0.388831116330082 0.240082463573362 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.736351515151515 -242.834324698187 -78.0666331266969 -90.6526603753366 -20.2299078995793 1212.20909090909 19395.3454545455 19395.3454545455
"Aarest_data" 0.682531564503899 78.5629322452196 0.119623374020114 0.0256472750794491 3.01961953482208e-152 0.000320736068275096 -2.45442012669628e-06 -3.3584246494911e-15 -1.70352826006783e+135 0.370516451978003 0.389095279223989 0.240388268798008 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.739380808080808 -242.747362060821 -77.8771444603997 -90.7237499490733 -20.2553392429396 1313.21818181818 10505.7454545455 10505.7454545455
