"data_Name","Iter","beta1","beta3","lambda1","lambda2","lambda3","diffBeta1","diffBeta3","diffLambda1","diffLambda3","pi1","pi2","pi3","init_beta1","init_beta2","init_beta3","init_pi1","init_pi2","init_pi3","EM_endIter","tempering","Qlike","Q1","Q2","Q3","bpBase","bp1","bp3"
"FRT_censord",1,9.74565374137444,3.80982178233547,9.40604386171125e-15,0.0105757843509623,2.82846269124893e-10,-1.58406265526878e-06,-3.4383982878694e-06,0,-3.814697265625e-06,0.0959954170996692,0.358587253856634,0.545417329043696,0.1,1,5,0.333333333333333,0.333333333333333,0.333333333333333,172,0.999999999,-149.656885262993,-7.38466600469289,-57.0160851248003,-57.5554482685265,1e+07,1e+07,1e+07
"FRT_censord",1,9.74573259968985,3.80982212729992,9.40353539314164e-15,0.0105757885775041,2.82845704598603e-10,-4.01378343362069e-06,-3.40309423307872e-06,-0.0625,-3.814697265625e-06,0.0959953098931638,0.35858735203943,0.545417338067406,0.1,1,5,0.25,0.5,0.25,174,0.999999999,-149.656879570266,-7.38465137239505,-57.0160991128144,-57.5554475721482,1e+07,1e+07,1e+07
"FRT_censord",1,9.74583561695745,3.80982280486204,9.40025943152694e-15,0.0105757940249718,2.82844597583433e-10,-7.18727633497451e-06,-3.40259204989479e-06,-0.0625,0,0.0959951692179084,0.358587488317338,0.545417342464753,0.1,1,5,0.1,0.8,0.1,175,0.999999999,-149.656871980286,-7.38463220717749,-57.0161188088121,-57.5554450684805,1e+07,1e+07,1e+07
"FRT_censord",1,0.916098921425852,3.98473699792351,0.019211183026046,0.0103230645780892,1.03076137608314e-10,2.74080512951969e-07,-3.94618609078634e-06,2.27373675443232e-13,-1.52587890625e-05,0.455636310225556,2.39568835585401e-07,0.544363450205608,0.5,1,2,0.333333333333333,0.333333333333333,0.333333333333333,4596,0.999999999,-148.245473959252,-70.854442033875,-3.82147429889719e-05,-56.7147095655571,1e+07,1e+07,1e+07
"FRT_censord",1,0.916098771090783,3.98473218902238,0.0192112024072034,0.0103230609697868,1.03078992892239e-10,4.88622099226177e-07,-3.11871696823118e-06,1.13686837721616e-13,0,0.455636148603875,2.39717373776273e-07,0.544363611678751,0.5,1,2,0.25,0.5,0.25,4666,0.999999999,-148.245476909263,-70.8544117728175,-3.82384364528866e-05,-56.7147435503965,1e+07,1e+07,1e+07
"FRT_censord",1,9.74590688934476,3.80982378279704,9.39799361070518e-15,0.010575797596579,2.82843002289286e-10,-9.38164330044344e-06,-3.50272369331606e-06,-0.0625,3.814697265625e-06,0.0959950705215682,0.35858760116418,0.545417328314252,0.5,1,2,0.1,0.8,0.1,181,0.999999999,-149.656866408826,-7.38461883692516,-57.016135727155,-57.5554396729819,1e+07,1e+07,1e+07
"FRT_censord",1,0.916098789392915,3.98473282365741,0.019211199977115,0.0103230614370578,1.03078616084492e-10,4.91406375147108e-07,-3.22852346812397e-06,0,-1.52587890625e-05,0.455636169926557,2.39791108164747e-07,0.544363590282334,0.9,1,10,0.333333333333333,0.333333333333333,0.333333333333333,4600,0.999999999,-148.245476569654,-70.8544157655302,-3.82501982456933e-05,-56.7147390601248,1e+07,1e+07,1e+07
"FRT_censord",1,0.916098742057033,3.98473120256349,0.0192112062333997,0.0103230602401086,1.03079578598554e-10,4.96064522792494e-07,-2.94826418922867e-06,0,1.52587890625e-05,0.455636115424892,2.39671407303335e-07,0.5443636449037,0.9,1,10,0.25,0.5,0.25,4672,0.999999999,-148.245477470387,-70.8544055610331,-3.82311040086118e-05,-56.7147505279189,1e+07,1e+07,1e+07
"FRT_censord",1,9.74564472573091,3.80982302556509,9.4063306464883e-15,0.0105757833332068,2.82844243978733e-10,-1.30336334791537e-06,-3.69329183769196e-06,0,-3.814697265625e-06,0.0959954259417274,0.358587290090666,0.545417283967606,0.9,1,10,0.1,0.8,0.1,184,0.999999999,-149.656885135296,-7.38466740059292,-57.0160919378975,-57.555439015132,1e+07,1e+07,1e+07
