"filename" "beta1" "beta3" "lambda1" "lambda3" "diffBeta1" "diffBeta3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "tempering" "Qlike" "Q1" "Q2" "Q3"
"Aarest_data" 81.0556883079845 1.8774978657717 4.59393335833548e-157 0.000679492610726715 7.92609932318555e-05 1.58599449662233e-06 0.251445270531992 0.189623407237795 0.558931322230213 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 1 -210.549108540765 -20.6626095498508 -13.3662105267824 -127.142097193553
"Aarest_data" 1.55616622519239 78.5366481515804 1.04030206424861 3.39826301197641e-152 1.45692418818122e-06 7.28782655770033e-05 0.125366637677553 0.619074490106104 0.255558872216342 0.5 1 25 0.333333333333333 0.333333333333333 0.333333333333333 1 -215.753291162036 -4.75134745400617 -144.242011592705 -21.4674516071304
"Aarest_data" 5.26347252637351 82.4640831391787 3.00337605084482e-10 8.67878362136964e-160 4.6178338379832e-06 -5.63751705797699e-05 0.338833997688994 0.408133518618898 0.253032483692107 0.5 1 50 0.333333333333333 0.333333333333333 0.333333333333333 1 -210.585035423284 -67.6150789420296 -68.4246061681831 -20.5362803798349
"Aarest_data" 1.87750002779581 81.0564185097643 0.000679485788638244 4.57903816530318e-157 -1.83693943256458e-06 7.78718198972683e-05 0.558931405841537 0.189623624441775 0.251444969716688 0.2 1 5 0.333333333333333 0.333333333333333 0.333333333333333 1 -210.549109463609 -127.142121502081 -13.3662587000729 -20.6625382657441
"Aarest_data" 1.8775001468563 81.0609253135117 0.000679482037476293 4.48816843532107e-157 1.82799031733794e-06 6.9248925299803e-05 0.558933249305108 0.189623607993356 0.251443142701536 0.5 1 5 0.333333333333333 0.333333333333333 0.333333333333333 1 -210.549090154123 -127.142615594928 -13.3662536633281 -20.6621037608893
"Aarest_data" 1.55616628357192 78.5457017859144 1.04030212433417 3.26414914091944e-152 1.40365190781644e-06 5.50504911771554e-05 0.125366639811456 0.619078251512419 0.255555108676124 0.8 1 5 0.333333333333333 0.333333333333333 0.333333333333333 1 -215.753235401016 -4.75134721710562 -144.243085083326 -21.4664889178584
"Aarest_data" 82.4760941206552 5.26340702307811 8.22731784832147e-160 3.00410018060533e-10 -7.95460142057891e-05 4.67442067986212e-06 0.253026968831456 0.408133098436804 0.33883993273174 0.5 1 2 0.25 0.5 0.25 1 -210.585167940125 -20.5351334765702 -68.4244948184062 -67.6165463229447
"Aarest_data" 5.26350729819896 82.4576814133763 3.00299198386391e-10 8.92944619343179e-160 4.63151775420556e-06 -4.40227526681269e-05 0.338830838330917 0.408133738803103 0.253035422865979 0.5 1 25 0.25 0.5 0.25 1 -210.584964882903 -67.6142978781912 -68.4246643954003 -20.5368918154819
"Aarest_data" 5.2634297331427 82.4722445528506 3.0038460022831e-10 8.36939680145277e-160 4.13031663981656e-06 -7.21230108879922e-05 0.338837980494044 0.408133278364375 0.253028741141581 0.5 1 50 0.25 0.5 0.25 1 -210.585126079048 -67.6160630319143 -68.4245439671482 -20.5355015537512
"Aarest_data" 5.26359099349238 82.4432549562097 3.00205795594968e-10 9.52118212267394e-160 3.17535138094627e-06 -1.61865307788389e-05 0.33882355378622 0.408134386426103 0.253042059787676 0.2 1 5 0.25 0.5 0.25 1 -210.584809270163 -67.6124951835661 -68.4248408553387 -20.5382715820597
