"beta1" "lambda1" "lambda2" "diffBeta1" "diffLambda1" "pi1" "pi2" "init_beta1" "init_beta2" "init_pi1" "init_pi2" "tempering" "Qlike" "Q1" "Q2" "bpBase" "bp1"
0.196422078869567 0.00219549144619288 8.21959372482536e-07 -0.0384664297656059 1.0884626533425e-12 0.710664908999935 0.289335091000065 0.5 1 0.5 0.5 0.66 -2798.78806309325 -278.41751172269 -20.306892447015 100 100
0.196475857655813 0.00218087268340314 8.1132672365289e-07 -0.000376977075831064 6.63469279515994e-13 0.716291747195426 0.283708252804574 0.5 1 0.5 0.5 0.663433333333333 -2777.50207348108 -279.102165121597 -19.6717133902771 10200 10200
0.196584406145668 0.00216521222087037 8.00847484993952e-07 -0.000189270327354052 1.62136970516258e-12 0.722046416592281 0.277953583407719 0.5 1 0.5 0.5 0.666866666666667 -2755.06619848257 -279.787516814738 -19.0404835315242 20300 20300
0.196692353849769 0.00214957248540116 7.90487767208109e-07 -0.000126290415551011 6.82121026329696e-13 0.727863629880936 0.272136370119064 0.5 1 0.5 0.5 0.6703 -2731.69193164923 -280.468206420326 -18.4170151655065 30400 30400
0.196799517674922 0.0021339654655366 7.80248360564118e-07 -9.47233109229728e-05 5.11590769747272e-13 0.733741231539366 0.266258768460634 0.5 1 0.5 0.5 0.673733333333333 -2707.35625918363 -281.143989995712 -17.8014764342219 40500 40500
0.196905822948505 0.00211840120107771 7.70130139397957e-07 -7.57586165889279e-05 6.82121026329696e-13 0.739676979723616 0.260323020276383 0.5 1 0.5 0.5 0.677166666666667 -2682.03626193805 -281.814626338854 -17.1940308573514 50600 50600
0.197011212616849 0.00210288951873367 7.60134006733714e-07 -6.31055325754915e-05 -9.2503782411768e-13 0.745668427349731 0.254331572650269 0.5 1 0.5 0.5 0.6806 -2655.70966247746 -282.47986811916 -16.5948435578694 60700 60700
0.197115634238678 0.00208744026796542 7.50260882403316e-07 -5.40629228567013e-05 -1.33315580796989e-12 0.751712899725696 0.248287100274304 0.5 1 0.5 0.5 0.684033333333333 -2628.35502366828 -283.139460969532 -16.0040817282366 70800 70800
0.197219036665257 0.00207206338953857 7.40511702146268e-07 -4.72785492888761e-05 2.18847162614111e-12 0.757807476113871 0.242192523886129 0.5 1 0.5 0.5 0.687466666666667 -2599.95195137514 -283.793142805339 -15.4219150178755 80900 80900
0.19732136901997 0.00205676892244988 7.30887413027851e-07 -4.20005079888597e-05 -1.4317436125566e-12 0.763948981271027 0.236051018728973 0.5 1 0.5 0.5 0.6909 -2570.48126972668 -284.440644075065 -14.8485151748629 91000 91000
