"data_Name" "Iter" "beta1" "lambda1" "lambda2" "diffBeta1" "diffBeta2" "diffLambda1" "pi1" "pi2" "init_beta1" "init_beta2" "init_pi1" "init_pi2" "EM_endIter" "tempering" "Q1" "Q2" "bpBase" "bp1"
"V121" "LFP" 22 0.187714958413476 0.0027372247293151 2.70415807862314e-06 -3.5626129317734e-06 -27.5873463214141 -3.39639427693328e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.29090909069697 -196.577831306963 -117.931512189295 1149756.99539774 1149756.99539774
"V122" "LFP" 23 0.187714957708036 0.00273722474322506 2.70415807862314e-06 -3.17149027750929e-06 -27.5873463214141 2.62412314100402e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.299999999777778 -196.577831306965 -117.931512189295 1291549.66501488 1291549.66501488
"V123" "LFP" 24 0.187714957080065 0.00273722475560765 2.70415807862314e-06 -2.82329855849639e-06 -27.5873463214141 3.08997272213674e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.309090908858586 -196.577831306966 -117.931512189295 1450828.77849594 1450828.77849594
"V124" "LFP" 25 0.187714956520986 0.0027372247666322 2.70415807862314e-06 -2.51335833922894e-06 -27.5873463214141 -5.50715029135063e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.318181817939394 -196.577831306963 -117.931512189295 1629750.83462065 1629750.83462065
"V125" "LFP" 26 0.187714956023348 0.00273722477644455 2.70415807862314e-06 -2.23741463400984e-06 -27.5873463214141 2.32036612146658e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.327272727020202 -196.577831306965 -117.931512189295 1830738.28029537 1830738.28029537
"V126" "LFP" 27 0.187714955580303 0.00273722478518101 2.70415807862314e-06 -1.99179635274049e-06 -27.5873463214141 -2.56727972214321e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.33636363610101 -196.577831306963 -117.931512189295 2056512.30834865 2056512.30834865
"V127" "LFP" 28 0.187714955185914 0.0027372247929577 2.70415807862314e-06 -1.77312745108793e-06 -27.5873463214141 -4.31166213843426e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.345454545181818 -196.577831306964 -117.931512189295 2310129.70008316 2310129.70008316
"V128" "LFP" 29 0.187714954834796 0.002737224799881 2.70415807862314e-06 -1.57844718273736e-06 -27.5873463214141 3.51851880964205e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.354545454262626 -196.577831306965 -117.931512189295 2595024.21139974 2595024.21139974
"V129" "LFP" 30 0.18771495452225 0.00273722480604405 2.70415807862314e-06 -1.40517042268584e-06 -27.5873463214141 1.38244971026324e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.363636363343434 -196.577831306965 -117.931512189295 2915053.06282518 2915053.06282518
"V130" "LFP" 31 0.187714954244009 0.00273722481153078 2.70415807862314e-06 -1.25089852076599e-06 -27.5873463214141 -7.75957076371014e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.372727272424242 -196.577831306963 -117.931512189295 3274549.16287773 3274549.16287773
"V131" "LFP" 32 0.18771495399638 0.00273722481641331 2.70415807862314e-06 -1.11359807419831e-06 -27.5873463214141 -1.85851334322251e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.381818181505051 -196.577831306965 -117.931512189295 3678379.77182863 3678379.77182863
"V132" "LFP" 33 0.187714953775873 0.00273722482076138 2.70415807862314e-06 -9.91344080603085e-07 -27.5873463214141 4.32143210105096e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.390909090585859 -196.577831306965 -117.931512189295 4132012.40011534 4132012.40011534
"V133" "LFP" 34 0.18771495357952 0.00273722482463315 2.70415807862314e-06 -8.82479184838303e-07 -27.5873463214141 -4.80948614267618e-13 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.399999999666667 -196.577831306965 -117.931512189295 4641588.83361278 4641588.83361278
"V134" "LFP" 35 0.187714953404804 0.00273722482807829 2.70415807862314e-06 -7.85606061981525e-07 -27.5873463214141 4.23883150801885e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.409090908747475 -196.577831306965 -117.931512189295 5214008.28799969 5214008.28799969
"V135" "LFP" 36 0.187714953249247 0.00273722483114605 2.70415807862314e-06 -6.99365216405567e-07 -27.5873463214141 -7.13340497782156e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.418181817828283 -196.577831306962 -117.931512189295 5857020.81805666 5857020.81805666
"V136" "LFP" 37 0.187714953110781 0.00273722483387626 2.70415807862314e-06 -6.2258700950224e-07 -27.5873463214141 4.9693582582222e-13 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.427272726909091 -196.577831306964 -117.931512189295 6579332.24657568 6579332.24657568
"V137" "LFP" 38 0.187714952987451 0.00273722483630793 2.70415807862314e-06 -5.54193377411138e-07 -27.5873463214141 1.92512672470002e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.436363635989899 -196.577831306965 -117.931512189295 7390722.03352578 7390722.03352578
"V138" "LFP" 39 0.187714952877732 0.0027372248384717 2.70415807862314e-06 -4.9338805752086e-07 -27.5873463214141 -7.38964445190504e-13 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.445454545070707 -196.577831306963 -117.931512189295 8302175.68131974 8302175.68131974
"V139" "LFP" 40 0.187714952780066 0.00273722484039719 2.70415807862314e-06 -4.39233588167554e-07 -27.5873463214141 6.7683636473248e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.454545454151515 -196.577831306965 -117.931512189295 9326033.46883218 9326033.46883218
"V140" "LFP" 41 0.187714952693036 0.00273722484211348 2.70415807862314e-06 -3.9096991599763e-07 -27.5873463214141 -1.39488420813905e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.463636363232323 -196.577831306964 -117.931512189295 10476157.5278967 10476157.5278967
"V141" "LFP" 42 0.187714952615639 0.00273722484363939 2.70415807862314e-06 -3.48044522979762e-07 -27.5873463214141 7.03037628113634e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.472727272313131 -196.577831306966 -117.931512189295 11768119.52435 11768119.52435
"V142" "LFP" 43 0.187714952546724 0.00273722484499827 2.70415807862314e-06 -3.09853248836589e-07 -27.5873463214141 2.18491891246231e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.481818181393939 -196.577831306966 -117.931512189295 13219411.4846603 13219411.4846603
"V143" "LFP" 44 0.187714952485388 0.00273722484620811 2.70415807862314e-06 -2.75847270359009e-07 -27.5873463214141 -1.55120361000627e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.490909090474748 -196.577831306963 -117.931512189295 14849682.6225447 14849682.6225447
"V144" "LFP" 45 0.187714952430748 0.00273722484728517 2.70415807862314e-06 -2.45533811948917e-07 -27.5873463214141 3.87956333725015e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.499999999555556 -196.577831306966 -117.931512189295 16681005.3720006 16681005.3720006
