"data_Name" "Iter" "beta1" "lambda1" "lambda2" "diffBeta1" "diffBeta2" "diffLambda1" "pi1" "pi2" "init_beta1" "init_beta2" "init_pi1" "init_pi2" "EM_endIter" "tempering" "Q1" "Q2" "bpBase" "bp1"
"V189" "LFP" 90 0.187714951990216 0.0027372248559721 2.70415807862314e-06 -1.30424382405181e-09 -27.5873463214141 -7.01660951563099e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.909090908191919 -196.577831306964 -117.931512189295 3125715849.68824 3125715849.68824
"V190" "LFP" 91 0.187714951989934 0.00273722485597781 2.70415807862314e-06 -1.16804699246131e-09 -27.5873463214141 -5.69455593790735e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.918181817272727 -196.577831306963 -117.931512189295 3511191734.21514 3511191734.21514
"V191" "LFP" 92 0.187714951989766 0.00273722485598102 2.70415807862314e-06 -1.07382902569952e-09 -27.5873463214141 -3.47188944260779e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.927272726353535 -196.577831306963 -117.931512189295 3944206059.43765 3944206059.43765
"V192" "LFP" 93 0.187714951989517 0.00273722485598556 2.70415807862314e-06 -8.91503759703483e-10 -27.5873463214141 4.20197210360129e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.936363635434344 -196.577831306966 -117.931512189295 4430621457.58388 4430621457.58388
"V193" "LFP" 94 0.187714951989358 0.00273722485598869 2.70415807862314e-06 -8.29828650239506e-10 -27.5873463214141 6.22657481130773e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.945454544515152 -196.577831306966 -117.931512189295 4977023564.33211 4977023564.33211
"V194" "LFP" 95 0.18771495198921 0.00273722485599164 2.70415807862314e-06 -7.40300265533733e-10 -27.5873463214141 4.46531700504238e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.95454545359596 -196.577831306966 -117.931512189295 5590810182.51222 5590810182.51222
"V195" "LFP" 96 0.187714951989016 0.00273722485599559 2.70415807862314e-06 -6.30080876362626e-10 -27.5873463214141 5.12256903562047e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.963636362676768 -196.577831306965 -117.931512189295 6280291441.83426 6280291441.83426
"V196" "LFP" 97 0.187714951988955 0.00273722485599696 2.70415807862314e-06 -6.19223783360212e-10 -27.5873463214141 -1.3855583347322e-13 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.972727271757576 -196.577831306964 -117.931512189295 7054802310.71864 7054802310.71864
"V197" "LFP" 98 0.187714951988776 0.00273722485600025 2.70415807862314e-06 -4.89762896904722e-10 -27.5873463214141 4.23172608066125e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.981818180838384 -196.577831306965 -117.931512189295 7924828983.53917 7924828983.53917
"V198" "LFP" 99 0.187714951988691 0.00273722485600179 2.70415807862314e-06 -4.38859615314868e-10 -27.5873463214141 9.14557318765219e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.990909089919192 -196.577831306966 -117.931512189295 8902150854.4504 8902150854.4504
"V199" "LFP" 100 0.187714951988611 0.00273722485600386 2.70415807862314e-06 -4.18424406234408e-10 -27.5873463214141 -6.00675065243195e-12 0.443867497040627 0.556132502959387 0.5 1 0.5 0.5 1 0.999999999 -196.577831306963 -117.931512189295 1e+10 1e+10
