"data_Name","Iter","beta1","beta3","lambda1","lambda2","lambda3","diffBeta1","diffBeta3","diffLambda1","diffLambda3","pi1","pi2","pi3","init_beta1","init_beta2","init_beta3","init_pi1","init_pi2","init_pi3","EM_endIter","tempering","Qlike","Q1","Q2","Q3","bpBase","bp1","bp3","abs_diff_sum","source_file"
"Aarest_data",100,0.999999952275848,78.569939789514,1.04600458332578,0.0256903956785532,2.93062034922669e-152,2.09502298461574,-1.28914479091691e-09,3.5527136788005e-15,9.30353567098377e+136,0.126682170533928,0.617768868053802,0.255548961412269,0.1,1,5,0.333333333333333,0.333333333333333,0.333333333333333,6,1,-216.901313239763,-6.04921476581035,-143.990743563406,-21.4646814674593,1e+07,1e+07,1e+07,2.09502298590489,"ProposedResult_noDAEM_Aarest_data_b1_p1.txt"
"Aarest_data",100,0.999999952275848,78.5699397895261,1.04600458332578,0.0256903956785532,2.93062034906969e-152,2.09502298461574,-1.28915900177162e-09,4.44089209850063e-15,-9.30353567098377e+136,0.126682170533928,0.617768868053801,0.25554896141227,0.1,1,5,0.25,0.5,0.25,6,1,-216.901313239763,-6.04921476581035,-143.990743563406,-21.4646814674594,1e+07,1e+07,1e+07,2.0950229859049,"ProposedResult_noDAEM_Aarest_data_b1_p2.txt"
"Aarest_data",100,0.999999952275848,78.5699397895201,1.04600458332578,0.0256903956785533,2.93062034914747e-152,2.09502298461574,-1.28917321262634e-09,1.77635683940025e-15,9.30353567098377e+136,0.126682170533928,0.6177688680538,0.255548961412272,0.1,1,5,0.1,0.8,0.1,6,1,-216.901313239763,-6.04921476581035,-143.990743563406,-21.4646814674594,1e+07,1e+07,1e+07,2.09502298590491,"ProposedResult_noDAEM_Aarest_data_b1_p3.txt"
"Aarest_data",100,0.999999952275848,78.5699397895243,1.04600458332578,0.025690395678553,2.93062034909223e-152,2.09502298461574,-1.28915900177162e-09,4.44089209850063e-15,-1.86070713419675e+137,0.126682170533928,0.617768868053806,0.255548961412266,0.5,1,2,0.333333333333333,0.333333333333333,0.333333333333333,6,1,-216.901313239762,-6.04921476581035,-143.990743563407,-21.4646814674591,1e+07,1e+07,1e+07,2.0950229859049,"ProposedResult_noDAEM_Aarest_data_b2_p1.txt"
"Aarest_data",100,0.999999952275848,78.5699397895201,1.04600458332578,0.0256903956785533,2.93062034914747e-152,2.09502298461574,-1.28917321262634e-09,1.77635683940025e-15,9.30353567098377e+136,0.126682170533928,0.6177688680538,0.255548961412272,0.5,1,2,0.25,0.5,0.25,6,1,-216.901313239763,-6.04921476581035,-143.990743563406,-21.4646814674594,1e+07,1e+07,1e+07,2.09502298590491,"ProposedResult_noDAEM_Aarest_data_b2_p2.txt"
"Aarest_data",100,0.999999952275848,78.5699397895312,1.04600458332578,0.0256903956785532,2.93062034900322e-152,2.09502298461574,-1.28915900177162e-09,8.88178419700125e-16,0,0.126682170533928,0.617768868053802,0.25554896141227,0.5,1,2,0.1,0.8,0.1,6,1,-216.901313239763,-6.04921476581035,-143.990743563406,-21.4646814674584,1e+07,1e+07,1e+07,2.0950229859049,"ProposedResult_noDAEM_Aarest_data_b2_p3.txt"
"Aarest_data",100,0.999999952275848,78.5699397895313,1.04600458332578,0.0256903956785532,2.93062034900081e-152,2.09502298461574,-1.28916610719898e-09,4.44089209850063e-15,9.30353567098377e+136,0.126682170533928,0.617768868053802,0.255548961412269,0.9,1,10,0.333333333333333,0.333333333333333,0.333333333333333,6,1,-216.901313239764,-6.04921476581035,-143.990743563406,-21.4646814674593,1e+07,1e+07,1e+07,2.09502298590491,"ProposedResult_noDAEM_Aarest_data_b3_p1.txt"
"Aarest_data",100,0.999999952275848,78.5699397895151,1.04600458332578,0.0256903956785534,2.93062034921229e-152,2.09502298461574,-1.28915900177162e-09,4.44089209850063e-15,0,0.126682170533928,0.617768868053799,0.255548961412273,0.9,1,10,0.25,0.5,0.25,6,1,-216.901313239763,-6.04921476581035,-143.990743563405,-21.4646814674595,1e+07,1e+07,1e+07,2.0950229859049,"ProposedResult_noDAEM_Aarest_data_b3_p2.txt"
"Aarest_data",100,0.999999952275848,78.5699397895201,1.04600458332578,0.0256903956785533,2.93062034914747e-152,2.09502298461574,-1.28917321262634e-09,1.77635683940025e-15,9.30353567098377e+136,0.126682170533928,0.6177688680538,0.255548961412272,0.9,1,10,0.1,0.8,0.1,6,1,-216.901313239763,-6.04921476581035,-143.990743563406,-21.4646814674594,1e+07,1e+07,1e+07,2.09502298590491,"ProposedResult_noDAEM_Aarest_data_b3_p3.txt"
"FRT_censord",1,0.984440007585551,3.94301026622715,0.0462504569488124,0.00967332531197711,1.30218813060013e-10,0.632515775830424,-0.00339788145257813,0,0,0.109150705225108,0.359015798743288,0.531833496031604,0.1,1,2,0.333333333333333,0.333333333333333,0.333333333333333,691,1,-154.802633168382,-13.52662629272,-57.5144107524351,-55.4009076695144,100,100,100,0.635913657283002,"ProposedResult_noDAEM_FRT_censord_b1_p1.txt"
"FRT_censord",1,0.984440007642939,3.94301034134246,0.0462504593159381,0.00967332540686853,1.30218756144151e-10,0.632515778201322,-0.0033978813658635,0,0,0.10915069620058,0.359015811962995,0.531833491836426,0.1,1,2,0.25,0.5,0.25,533,1,-154.802632882673,-13.5266250039139,-57.5144128607652,-55.400906837173,100,100,100,0.635913659567185,"ProposedResult_noDAEM_FRT_censord_b1_p2.txt"
