"filename" "beta1" "beta3" "lambda1" "lambda2" "lambda3" "diffBeta1" "diffBeta3" "diffLambda1" "diffLambda3" "pi1" "pi2" "pi3" "init_beta1" "init_beta2" "init_beta3" "init_pi1" "init_pi2" "init_pi3" "tempering" "Qlike" "Q1" "Q2" "Q3" "bpBase" "bp1" "bp3"
"RearDump" 0.606871426470002 1.00001028257906 0.806297763513947 1.25482417733724 0.465067049855187 0.000136703731982379 -14.8394572408495 6.41674213763821e-15 2.30718222304915e-15 0.384804755626166 0.312473870151277 0.302721374222557 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.7 -312.549313948016 -73.3520626116305 -30.9175959918845 -68.4126580966289 0.1 13107.2 13107.2
"RearDump" 0.607101178918097 1.00001051521671 0.806878821096342 1.26303667919669 0.462743352873023 0.000138775328991869 -14.6964215414088 -3.53883589099269e-16 1.1518563880486e-14 0.384937870522813 0.312617038541484 0.302445090935703 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.703029292929293 -312.387561094091 -73.310406858535 -30.6707272315096 -68.5441220922888 101.109090909091 12941.9636363636 12941.9636363636
"RearDump" 0.607335725614945 1.00001062394311 0.807480065400707 1.27121807228568 0.460422498921566 0.000139177397961987 -14.5532138687791 2.77555756156289e-17 1.91999194321113e-14 0.385067559831929 0.312768308789761 0.30216413137831 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.706058585858586 -312.225627110909 -73.2660007027578 -30.4270798045732 -68.6749100600085 202.118181818182 12935.5636363636 12935.5636363636
"RearDump" 0.607575682305424 1.00000715427252 0.808102513457466 1.27936399964329 0.458105200069611 9.30278147635022e-05 -14.4098524374598 6.38204766811867e-15 -1.6306400674182e-15 0.385193313574256 0.312927653651352 0.301879032774393 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.709087878787879 -312.063569649806 -73.2186224272286 -30.1867306675895 -68.8052111323842 303.127272727273 19400.1454545455 19400.1454545455
"RearDump" 0.607819548541764 1.00001084024757 0.80874654452812 1.28747938645298 0.455784440115922 0.000139900409870108 -14.2663508436647 -3.5232233797089e-15 -4.44089209850063e-16 0.385316514001538 0.313096029032844 0.301587456965618 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.712117171717172 -311.901181712293 -73.1685886687853 -29.9495601252173 -68.9346719099472 404.136363636364 12932.3636363636 12932.3636363636
"RearDump" 0.608069387812629 1.00000876082649 0.80941393091709 1.29555343699922 0.453465833412901 0.000112210611440844 -14.1227257180731 2.62290189567693e-15 -5.32213162429684e-15 0.385435360463229 0.313272796155455 0.301291843381316 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.715146464646465 -311.73869164507 -73.1152815736595 -29.715785572376 -69.0638652236431 505.145454545455 16164.6545454545 16164.6545454545
"RearDump" 0.608324368519854 1.00000737601591 0.810105452888632 1.3035880127336 0.45114457554799 9.37542678229875e-05 -13.9789875519473 -3.98986399474666e-17 -5.01682029252493e-15 0.385550651902157 0.313458646292912 0.300990701804931 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.718175757575758 -311.575966792751 -73.058833080682 -29.4853557632869 -69.192609487203 606.154545454545 19396.9454545455 19396.9454545455
"RearDump" 0.608583751268734 1.0000127763167 0.810822078429915 1.31158472144433 0.448815835913835 0.000161148299234526 -13.8351445872788 -3.77822773067749e-15 -4.34374758384592e-15 0.385663121422307 0.313654302145708 0.300682576431985 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.72120505050505 -311.412872105155 -72.999339342136 -29.2582306702176 -69.3207446012102 707.163636363636 11314.6181818182 11314.6181818182
"RearDump" 0.608849707290354 1.00001129702437 0.811565645527512 1.3195315805845 0.446485993934524 0.000141386948854461 -13.6912076222492 -2.91607016311701e-15 7.68482499857726e-15 0.385770888096881 0.313859011545009 0.30037010035811 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.724234343434343 -311.249656865301 -72.9361600852418 -29.0346477952499 -69.4488629539157 808.172727272727 12930.7636363636 12930.7636363636
"RearDump" 0.609121354875927 1.00001014869891 0.812337197918963 1.32743062432856 0.444149623337097 0.000126023996074309 -13.5471801439346 1.11889664200504e-15 3.34801630863524e-15 0.38587483292961 0.314073581970862 0.300051585099527 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.727263636363636 -311.086161909623 -72.8694227002113 -28.8145591736294 -69.5767625757473 909.181818181818 14546.9090909091 14546.9090909091
"RearDump" 0.609398904623045 1.00000923215259 0.81313815688385 1.33527877665542 0.441805416618279 0.000113740308073318 -13.4030649496444 -2.14758766325929e-15 8.95464258299228e-15 0.385974867811571 0.314298287340635 0.299726844847794 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.730292929292929 -310.922367301833 -72.7989762518542 -28.5980226272507 -69.7045201408903 1010.19090909091 16163.0545454545 16163.0545454545
"RearDump" 0.609682578939968 1.00000848419188 0.813970015950568 1.34307282411768 0.439452046655983 0.000103696406839049 -13.2588623083407 3.2682190287403e-15 6.41847686111419e-16 0.386070908806641 0.314533409847178 0.299395681346181 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.733322222222222 -310.758249904888 -72.7246645253417 -28.3850996378295 -69.8322113112218 1111.2 17779.2 17779.2
"RearDump" 0.609972615153155 1.00000786280856 0.814834336007291 1.35080940141122 0.437088185958716 9.53326325472403e-05 -13.114569856128 8.42902136977131e-15 1.19904086659517e-14 0.386162875526124 0.314779236994698 0.299057887479178 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.736351515151515 -310.593783594211 -72.6463263534722 -28.1758554814919 -69.9599104791068 1212.20909090909 19395.3454545455 19395.3454545455
"RearDump" 0.610268238514213 1.00001467766243 0.815732692112207 1.35849003193054 0.43470792104867 0.000176521246800121 -12.9701808730806 -1.06338549077378e-15 5.54417622922188e-15 0.386251628141341 0.315036718680009 0.29871165317865 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.739380808080808 -310.428782240662 -72.5640320722246 -27.9702679248669 -70.0874239270088 1313.21818181818 10505.7454545455 10505.7454545455
"RearDump" 0.61057185135349 1.00001378288423 0.816666923097671 1.36610060232507 0.432319364220034 0.000164411146890586 -12.825690832961 3.53536644404073e-15 -1.37806432931598e-14 0.386335156490445 0.315304806497802 0.298360037011753 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.742410101010101 -310.263535525147 -72.4771184032374 -27.768600461549 -70.2153743842623 1414.22727272727 11313.8181818182 11313.8181818182
"RearDump" 0.610882638716319 1.00001301075399 0.817638673184991 1.37364266448859 0.429916412787931 0.000153926991671938 -12.6810870731682 1.02556851899749e-14 -1.4658413372004e-14 0.386414400781864 0.31558447587357 0.298001123344566 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.745439393939394 -310.09784283103 -72.3856707524045 -27.5708295817255 -70.3435432641758 1515.23636363636 12121.8909090909 12121.8909090909
"RearDump" 0.611200917780884 1.00001233849681 0.818649741743989 1.38111218456164 0.42749785538486 0.000144764418685384 -12.5363557195105 1.69655955950532e-15 -4.09394740330526e-15 0.386489297565434 0.315876012555671 0.297634689878894 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.748468686868687 -309.931666484262 -72.2895121591258 -27.3770354479341 -70.4719967612019 1616.24545454545 12929.9636363636 12929.9636363636
"RearDump" 0.61152702793727 1.00001174849294 0.819701973305018 1.38850496426271 0.425062535894224 0.000136690708316678 -12.3914798110703 1.13225401277006e-14 8.62851456950864e-15 0.386559791392342 0.316179695508624 0.297260513099034 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.75149797979798 -309.764965829551 -72.1884641296851 -27.1873013664679 -70.6007972223109 1717.25454545455 13738.0363636364 13738.0363636364
"RearDump" 0.611861331948491 1.00001122724818 0.820797253411747 1.39581664417158 0.422609362079343 0.00012952488586393 -12.2464392373445 9.22178999829271e-15 -3.70189989773451e-15 0.386625836040279 0.316495794345758 0.296878369613963 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.754527272727273 -309.597697210634 -72.0823473842371 -27.0017135345608 -70.7300026729625 1818.26363636364 14546.1090909091 14546.1090909091
"RearDump" 0.612204215976666 1.0000107640202 0.821937482095712 1.40304271634581 0.420137337688438 0.000123124105499528 -12.1012107315272 7.28583859910259e-16 6.1929628092372e-15 0.386687398108987 0.316824562628111 0.296488039262902 0.5 1 2 0.333333333333333 0.333333333333333 0.333333333333333 0.757556565656566 -309.429814245357 -71.9709852375097 -26.8203601896755 -70.8596646441972 1919.27272727273 15354.1818181818 15354.1818181818
